task_id,task_duration,travel_time,engagement_time,normalized_engagement_time,energy_consumed
T9,26.0,2.432769480846629,28.43276948084663,1.0935680569556396,28.43276948084663
T10,16.0,3.2829526005987013,19.2829526005987,1.2051845375374188,19.2829526005987
T5,29.0,5.656854249492381,34.65685424949238,1.1950639396376683,34.65685424949238
T8,13.0,2.935521069693979,15.93552106969398,1.2258093130533831,15.93552106969398
T4,13.0,2.884441020371191,15.884441020371192,1.2218800784900916,15.884441020371192
T6,19.0,0.5270462766947299,19.52704627669473,1.0277392777207752,19.52704627669473
T1,25.0,2.7125679146074893,27.71256791460749,1.1085027165842996,27.71256791460749
T7,21.0,8.384874623330965,29.384874623330965,1.3992797439681413,29.384874623330965
T3,11.0,4.110960958218893,15.110960958218893,1.3737237234744448,15.110960958218893
T2,18.0,32.5388656498314,50.5388656498314,2.8077147583239666,50.5388656498314
D2,19.0,3.189043743820395,22.189043743820395,1.1678444075694945,22.189043743820395
D6,28.0,1.6031219541881399,29.60312195418814,1.0572543555067193,29.60312195418814
D4,11.0,2.2222222222222223,13.222222222222221,1.202020202020202,13.222222222222221
D1,10.0,11.671427600007732,21.671427600007732,2.167142760000773,21.671427600007732
D3,24.0,3.901566636906542,27.90156663690654,1.1625652765377725,27.90156663690654
D8,12.0,6.562143582325955,18.562143582325955,1.546845298527163,18.562143582325955
D5,13.0,9.01019830355513,22.01019830355513,1.6930921771965484,22.01019830355513
D10,17.0,1.5452362609131385,18.54523626091314,1.0908962506419493,18.54523626091314
D9,19.0,1.6703662642636565,20.670366264263656,1.0879140139086134,20.670366264263656
D7,10.0,5.0,15.0,1.5,15.0
D14,24.0,5.734883511361751,29.73488351136175,1.238953479640073,29.73488351136175
D17,10.0,1.236931687685298,11.236931687685297,1.1236931687685296,11.236931687685297
D11,19.0,1.8,20.8,1.0947368421052632,20.8
D13,17.0,1.1331154474650633,18.133115447465062,1.066653849850886,18.133115447465062
D15,10.0,7.661229956374136,17.661229956374136,1.7661229956374136,17.661229956374136
D12,27.0,1.4317821063276353,28.431782106327635,1.0530289669010235,28.431782106327635
D18,13.0,19.393584277051808,32.39358427705181,2.4918141751578315,32.39358427705181
D19,15.0,1.4948471163415233,16.494847116341525,1.0996564744227684,16.494847116341525
D16,29.0,9.866455228475433,38.86645522847543,1.3402225940853596,38.86645522847543
D20,17.0,1.8392161508052054,18.839216150805207,1.1081891853414827,18.839216150805207
D30,15.0,0.7453559924999299,15.74535599249993,1.0496903994999953,15.74535599249993
D26,12.0,7.605918747922567,19.605918747922566,1.6338265623268804,19.605918747922566
