task_id,task_duration,travel_time,engagement_time,normalized_engagement_time,energy_consumed
T6,15.0,0.5983516452371671,15.598351645237168,1.0398901096824777,15.598351645237168
T7,29.0,0.75,29.75,1.0258620689655173,29.75
T9,12.0,0.35136418446315326,12.351364184463153,1.0292803487052626,12.351364184463153
T3,22.0,2.596150997149434,24.596150997149433,1.1180068635067923,24.596150997149433
T5,18.0,3.073181485764296,21.073181485764295,1.170732304764683,21.073181485764295
T2,12.0,3.681787005729087,15.681787005729086,1.3068155838107571,15.681787005729086
T8,14.0,4.808846015417836,18.808846015417835,1.343489001101274,18.808846015417835
T4,13.0,5.3967582862307255,18.396758286230725,1.4151352527869787,18.396758286230725
T10,18.0,14.378271588669865,32.37827158866986,1.7987928660372146,32.37827158866986
T1,17.0,33.98856016694767,50.98856016694767,2.999327068643981,50.98856016694767
D4,11.0,1.048220125784067,12.048220125784066,1.0952927387076423,12.048220125784066
D3,23.0,1.8087578440110785,24.80875784401108,1.078641645391786,24.80875784401108
D1,17.0,4.487637339278753,21.487637339278752,1.2639786670163973,21.487637339278752
D6,26.0,3.0413812651491097,29.04138126514911,1.116976202505735,29.04138126514911
D7,18.0,5.836308764964376,23.836308764964375,1.3242393758313542,23.836308764964375
D2,26.0,3.8809442659051063,29.880944265905107,1.1492670871501964,29.880944265905107
D10,14.0,3.036445290137795,17.036445290137795,1.2168889492955568,17.036445290137795
D5,13.0,3.303570832737446,16.303570832737446,1.2541208332874958,16.303570832737446
D11,26.0,9.17196816392207,35.171968163922074,1.3527680063046952,35.171968163922074
D13,27.0,2.982944716831586,29.982944716831586,1.1104794339567254,29.982944716831586
D21,11.0,1.3038404810405297,12.30384048104053,1.1185309528218663,12.30384048104053
D8,15.0,8.092825659835619,23.09282565983562,1.539521710655708,23.09282565983562
D12,24.0,1.8027756377319946,25.802775637731994,1.0751156515721665,25.802775637731994
D9,19.0,10.540925533894598,29.540925533894598,1.5547855544155051,29.540925533894598
D23,27.0,2.3259406699226015,29.325940669922602,1.0861459507378741,29.325940669922602
D37,13.0,0.20203050891044216,13.202030508910441,1.0155408083777262,13.202030508910441
D42,12.0,2.3021728866442674,14.302172886644268,1.191847740553689,14.302172886644268
