time_step,method,task_id,position,urgency,duration
0,Greedy,T1,"(75, 23)",2,23.0
0,Greedy,T2,"(82, 82)",10,17.0
0,Greedy,T3,"(64, 12)",6,17.0
0,Greedy,T4,"(69, 74)",2,17.0
0,Greedy,T5,"(0, 56)",8,10.0
0,Greedy,T6,"(9, 1)",9,14.0
0,Greedy,T7,"(72, 48)",3,27.0
0,Greedy,T8,"(52, 16)",5,17.0
0,Greedy,T9,"(74, 17)",9,28.0
0,Greedy,T10,"(39, 93)",6,29.0
0,Auction,T1,"(75, 23)",2,23.0
0,Auction,T2,"(82, 82)",10,17.0
0,Auction,T3,"(64, 12)",6,17.0
0,Auction,T4,"(69, 74)",2,17.0
0,Auction,T5,"(0, 56)",8,10.0
0,Auction,T6,"(9, 1)",9,14.0
0,Auction,T7,"(72, 48)",3,27.0
0,Auction,T8,"(52, 16)",5,17.0
0,Auction,T9,"(74, 17)",9,28.0
0,Auction,T10,"(39, 93)",6,29.0
0,Q-Learning,T1,"(75, 23)",2,23.0
0,Q-Learning,T2,"(82, 82)",10,17.0
0,Q-Learning,T3,"(64, 12)",6,17.0
0,Q-Learning,T4,"(69, 74)",2,17.0
0,Q-Learning,T5,"(0, 56)",8,10.0
0,Q-Learning,T6,"(9, 1)",9,14.0
0,Q-Learning,T7,"(72, 48)",3,27.0
0,Q-Learning,T8,"(52, 16)",5,17.0
0,Q-Learning,T9,"(74, 17)",9,28.0
0,Q-Learning,T10,"(39, 93)",6,29.0
2,Greedy,D1,"(26, 9)",1,26.0
2,Auction,D1,"(26, 9)",1,26.0
2,Q-Learning,D1,"(26, 9)",1,26.0
3,Greedy,D1,"(26, 9)",2,26.0
3,Auction,D1,"(26, 9)",2,26.0
3,Q-Learning,D1,"(26, 9)",2,26.0
4,Greedy,D1,"(26, 9)",3,26.0
4,Greedy,D2,"(90, 81)",4,25.0
4,Auction,D1,"(26, 9)",3,26.0
4,Auction,D2,"(90, 81)",4,25.0
4,Q-Learning,D1,"(26, 9)",3,26.0
4,Q-Learning,D2,"(90, 81)",4,25.0
5,Greedy,D1,"(26, 9)",4,26.0
5,Greedy,D2,"(90, 81)",5,25.0
5,Auction,D1,"(26, 9)",4,26.0
5,Auction,D2,"(90, 81)",5,25.0
5,Q-Learning,D1,"(26, 9)",4,26.0
5,Q-Learning,D2,"(90, 81)",5,25.0
6,Greedy,D1,"(26, 9)",5,26.0
6,Greedy,D2,"(90, 81)",6,25.0
6,Greedy,D3,"(44, 63)",10,21.0
6,Auction,D1,"(26, 9)",5,26.0
6,Auction,D2,"(90, 81)",6,25.0
6,Auction,D3,"(44, 63)",10,21.0
6,Q-Learning,D1,"(26, 9)",5,26.0
6,Q-Learning,D2,"(90, 81)",6,25.0
6,Q-Learning,D3,"(44, 63)",10,21.0
7,Greedy,D1,"(26, 9)",6,26.0
7,Greedy,D2,"(90, 81)",7,25.0
7,Greedy,D3,"(44, 63)",11,21.0
7,Auction,D1,"(26, 9)",6,26.0
7,Auction,D2,"(90, 81)",7,25.0
7,Auction,D3,"(44, 63)",11,21.0
7,Q-Learning,D1,"(26, 9)",6,26.0
7,Q-Learning,D2,"(90, 81)",7,25.0
7,Q-Learning,D3,"(44, 63)",11,21.0
8,Greedy,D1,"(26, 9)",7,26.0
8,Greedy,D2,"(90, 81)",8,25.0
8,Greedy,D3,"(44, 63)",12,21.0
8,Greedy,D4,"(77, 98)",2,25.0
8,Auction,D1,"(26, 9)",7,26.0
8,Auction,D2,"(90, 81)",8,25.0
8,Auction,D3,"(44, 63)",12,21.0
8,Auction,D4,"(77, 98)",2,25.0
8,Q-Learning,D1,"(26, 9)",7,26.0
8,Q-Learning,D2,"(90, 81)",8,25.0
8,Q-Learning,D3,"(44, 63)",12,21.0
8,Q-Learning,D4,"(77, 98)",2,25.0
9,Greedy,D1,"(26, 9)",8,26.0
9,Greedy,D2,"(90, 81)",9,25.0
9,Greedy,D3,"(44, 63)",13,21.0
9,Greedy,D4,"(77, 98)",3,25.0
9,Auction,D1,"(26, 9)",8,26.0
9,Auction,D2,"(90, 81)",9,25.0
9,Auction,D3,"(44, 63)",13,21.0
9,Auction,D4,"(77, 98)",3,25.0
9,Q-Learning,D1,"(26, 9)",8,26.0
9,Q-Learning,D2,"(90, 81)",9,25.0
9,Q-Learning,D3,"(44, 63)",13,21.0
9,Q-Learning,D4,"(77, 98)",3,25.0
10,Greedy,D1,"(26, 9)",9,26.0
10,Greedy,D2,"(90, 81)",10,25.0
10,Greedy,D3,"(44, 63)",14,21.0
10,Greedy,D4,"(77, 98)",4,25.0
10,Greedy,D5,"(26, 3)",10,17.0
10,Auction,D1,"(26, 9)",9,26.0
10,Auction,D2,"(90, 81)",10,25.0
10,Auction,D3,"(44, 63)",14,21.0
