task_id,task_duration,travel_time,engagement_time,normalized_engagement_time,energy_consumed
T7,28.0,3.6336104634371584,31.633610463437158,1.1297718022656127,31.633610463437158
T4,30.0,3.6763602924631855,33.67636029246319,1.1225453430821062,33.67636029246319
T1,20.0,16.74979270186815,36.749792701868145,1.8374896350934073,36.749792701868145
T10,14.0,2.5279685520195856,16.527968552019587,1.1805691822871134,16.527968552019587
T2,28.0,7.566372975210778,35.566372975210776,1.2702276062575277,35.566372975210776
T3,20.0,6.388466169590319,26.38846616959032,1.319423308479516,26.38846616959032
T8,16.0,1.5595187608464665,17.559518760846466,1.097469922552904,17.559518760846466
T6,18.0,8.207313811473277,26.207313811473277,1.455961878415182,26.207313811473277
T9,28.0,2.0615528128088303,30.06155281280883,1.073626886171744,30.06155281280883
T5,21.0,13.789085861248703,34.7890858612487,1.6566231362499382,34.7890858612487
E4,10.0,9.84647779665399,19.84647779665399,1.984647779665399,19.84647779665399
E3,25.0,7.466798940627307,32.46679894062731,1.2986719576250922,32.46679894062731
E8,15.0,1.8027756377319946,16.802775637731994,1.1201850425154662,16.802775637731994
E1,24.0,3.577708763999664,27.577708763999663,1.149071198499986,27.577708763999663
E7,16.0,3.978457615709887,19.978457615709885,1.2486536009818678,19.978457615709885
E2,15.0,3.377314021526574,18.377314021526573,1.2251542681017715,18.377314021526573
E6,30.0,13.46291201783626,43.46291201783626,1.4487637339278754,43.46291201783626
E10,11.0,13.017082793177757,24.017082793177757,2.18337116301616,24.017082793177757
E16,23.0,2.3717082451262845,25.371708245126285,1.1031177497880993,25.371708245126285
E14,25.0,7.163274390947201,32.1632743909472,1.286530975637888,32.1632743909472
E5,30.0,6.482883446258907,36.48288344625891,1.216096114875297,36.48288344625891
E12,17.0,2.125,19.125,1.125,19.125
E25,14.0,2.1372648957412603,16.13726489574126,1.1526617782672328,16.13726489574126
E15,16.0,3.111269837220809,19.11126983722081,1.1944543648263006,19.11126983722081
E13,21.0,4.8699126668469175,25.86991266684692,1.2319006031831865,25.86991266684692
E21,10.0,8.31038506929733,18.310385069297332,1.8310385069297332,18.310385069297332
