time_step,method,task_id,position,urgency,duration
0,Greedy,T1,"(61, 77)",10,15.0
0,Greedy,T2,"(2, 7)",5,20.0
0,Greedy,T3,"(7, 92)",9,23.0
0,Greedy,T4,"(87, 28)",1,14.0
0,Greedy,T5,"(15, 85)",7,11.0
0,Greedy,T6,"(90, 70)",10,11.0
0,Greedy,T7,"(44, 91)",1,14.0
0,Greedy,T8,"(46, 37)",3,27.0
0,Greedy,T9,"(22, 4)",9,11.0
0,Greedy,T10,"(24, 19)",1,29.0
0,Auction,T1,"(61, 77)",10,15.0
0,Auction,T2,"(2, 7)",5,20.0
0,Auction,T3,"(7, 92)",9,23.0
0,Auction,T4,"(87, 28)",1,14.0
0,Auction,T5,"(15, 85)",7,11.0
0,Auction,T6,"(90, 70)",10,11.0
0,Auction,T7,"(44, 91)",1,14.0
0,Auction,T8,"(46, 37)",3,27.0
0,Auction,T9,"(22, 4)",9,11.0
0,Auction,T10,"(24, 19)",1,29.0
0,Q-Learning,T1,"(61, 77)",10,15.0
0,Q-Learning,T2,"(2, 7)",5,20.0
0,Q-Learning,T3,"(7, 92)",9,23.0
0,Q-Learning,T4,"(87, 28)",1,14.0
0,Q-Learning,T5,"(15, 85)",7,11.0
0,Q-Learning,T6,"(90, 70)",10,11.0
0,Q-Learning,T7,"(44, 91)",1,14.0
0,Q-Learning,T8,"(46, 37)",3,27.0
0,Q-Learning,T9,"(22, 4)",9,11.0
0,Q-Learning,T10,"(24, 19)",1,29.0
1,Greedy,T10,"(24, 19)",2,29.0
1,Auction,T10,"(24, 19)",2,29.0
1,Q-Learning,T2,"(2, 7)",6,20.0
1,Q-Learning,T3,"(7, 92)",10,23.0
1,Q-Learning,T5,"(15, 85)",8,11.0
1,Q-Learning,T7,"(44, 91)",2,14.0
1,Q-Learning,T8,"(46, 37)",4,27.0
1,Q-Learning,T10,"(24, 19)",2,29.0
1,Q-Learning,E1,"(8, 79)",9,10.0
2,Greedy,T10,"(24, 19)",3,29.0
2,Greedy,E2,"(96, 74)",9,30.0
2,Auction,T10,"(24, 19)",3,29.0
2,Auction,E2,"(96, 74)",9,30.0
2,Q-Learning,T2,"(2, 7)",7,20.0
2,Q-Learning,T5,"(15, 85)",9,11.0
2,Q-Learning,T7,"(44, 91)",3,14.0
2,Q-Learning,T8,"(46, 37)",5,27.0
2,Q-Learning,T10,"(24, 19)",3,29.0
2,Q-Learning,E1,"(8, 79)",10,10.0
3,Greedy,T10,"(24, 19)",4,29.0
