time_step,method,task_id,position,urgency,duration
0,Greedy,T1,"(58, 31)",9,17.0
0,Greedy,T2,"(14, 10)",3,29.0
0,Greedy,T3,"(2, 4)",7,30.0
0,Greedy,T4,"(58, 2)",5,11.0
0,Greedy,T5,"(71, 82)",3,25.0
0,Greedy,T6,"(17, 84)",3,12.0
0,Greedy,T7,"(91, 57)",3,18.0
0,Greedy,T8,"(23, 41)",5,25.0
0,Greedy,T9,"(36, 60)",3,14.0
0,Greedy,T10,"(33, 14)",3,21.0
0,Auction,T1,"(58, 31)",9,17.0
0,Auction,T2,"(14, 10)",3,29.0
0,Auction,T3,"(2, 4)",7,30.0
0,Auction,T4,"(58, 2)",5,11.0
0,Auction,T5,"(71, 82)",3,25.0
0,Auction,T6,"(17, 84)",3,12.0
0,Auction,T7,"(91, 57)",3,18.0
0,Auction,T8,"(23, 41)",5,25.0
0,Auction,T9,"(36, 60)",3,14.0
0,Auction,T10,"(33, 14)",3,21.0
0,Q-Learning,T1,"(58, 31)",9,17.0
0,Q-Learning,T2,"(14, 10)",3,29.0
0,Q-Learning,T3,"(2, 4)",7,30.0
0,Q-Learning,T4,"(58, 2)",5,11.0
0,Q-Learning,T5,"(71, 82)",3,25.0
0,Q-Learning,T6,"(17, 84)",3,12.0
0,Q-Learning,T7,"(91, 57)",3,18.0
0,Q-Learning,T8,"(23, 41)",5,25.0
0,Q-Learning,T9,"(36, 60)",3,14.0
0,Q-Learning,T10,"(33, 14)",3,21.0
1,Greedy,E1,"(72, 55)",3,14.0
1,Auction,T7,"(91, 57)",4,18.0
1,Q-Learning,T3,"(2, 4)",8,30.0
1,Q-Learning,T4,"(58, 2)",6,11.0
1,Q-Learning,T5,"(71, 82)",4,25.0
1,Q-Learning,T6,"(17, 84)",4,12.0
1,Q-Learning,T7,"(91, 57)",4,18.0
1,Q-Learning,T9,"(36, 60)",4,14.0
1,Q-Learning,T10,"(33, 14)",4,21.0
1,Q-Learning,E1,"(72, 55)",3,14.0
2,Greedy,E1,"(72, 55)",4,14.0
2,Auction,T7,"(91, 57)",5,18.0
2,Q-Learning,T5,"(71, 82)",5,25.0
2,Q-Learning,T6,"(17, 84)",5,12.0
2,Q-Learning,T7,"(91, 57)",5,18.0
2,Q-Learning,T9,"(36, 60)",5,14.0
2,Q-Learning,E1,"(72, 55)",4,14.0
3,Greedy,E1,"(72, 55)",5,14.0
3,Auction,T7,"(91, 57)",6,18.0
3,Q-Learning,T7,"(91, 57)",6,18.0
3,Q-Learning,E1,"(72, 55)",5,14.0
4,Greedy,E1,"(72, 55)",6,14.0
4,Greedy,E2,"(24, 78)",4,19.0
4,Auction,T7,"(91, 57)",7,18.0
4,Auction,E2,"(24, 78)",4,19.0
4,Q-Learning,E1,"(72, 55)",6,14.0
4,Q-Learning,E2,"(24, 78)",4,19.0
5,Greedy,E1,"(72, 55)",7,14.0
5,Greedy,E2,"(24, 78)",5,19.0
5,Greedy,E3,"(23, 32)",5,23.0
5,Auction,T7,"(91, 57)",8,18.0
5,Auction,E2,"(24, 78)",5,19.0
5,Auction,E3,"(23, 32)",5,23.0
5,Q-Learning,E1,"(72, 55)",7,14.0
5,Q-Learning,E2,"(24, 78)",5,19.0
5,Q-Learning,E3,"(23, 32)",5,23.0
6,Greedy,E1,"(72, 55)",8,14.0
6,Greedy,E2,"(24, 78)",6,19.0
6,Greedy,E3,"(23, 32)",6,23.0
6,Auction,T7,"(91, 57)",9,18.0
6,Auction,E2,"(24, 78)",6,19.0
6,Auction,E3,"(23, 32)",6,23.0
6,Q-Learning,E1,"(72, 55)",8,14.0
6,Q-Learning,E2,"(24, 78)",6,19.0
6,Q-Learning,E3,"(23, 32)",6,23.0
7,Greedy,E1,"(72, 55)",9,14.0
7,Greedy,E2,"(24, 78)",7,19.0
7,Greedy,E3,"(23, 32)",7,23.0
7,Auction,T7,"(91, 57)",10,18.0
7,Auction,E2,"(24, 78)",7,19.0
7,Auction,E3,"(23, 32)",7,23.0
7,Q-Learning,E1,"(72, 55)",9,14.0
7,Q-Learning,E2,"(24, 78)",7,19.0
7,Q-Learning,E3,"(23, 32)",7,23.0
8,Greedy,E1,"(72, 55)",10,14.0
8,Greedy,E2,"(24, 78)",8,19.0
8,Greedy,E3,"(23, 32)",8,23.0
8,Greedy,E4,"(46, 37)",10,16.0
8,Auction,T7,"(91, 57)",11,18.0
8,Auction,E2,"(24, 78)",8,19.0
8,Auction,E3,"(23, 32)",8,23.0
8,Auction,E4,"(46, 37)",10,16.0
8,Q-Learning,E1,"(72, 55)",10,14.0
8,Q-Learning,E2,"(24, 78)",8,19.0
8,Q-Learning,E3,"(23, 32)",8,23.0
8,Q-Learning,E4,"(46, 37)",10,16.0
9,Greedy,E1,"(72, 55)",11,14.0
9,Greedy,E2,"(24, 78)",9,19.0
9,Greedy,E3,"(23, 32)",9,23.0
9,Greedy,E4,"(46, 37)",11,16.0
9,Greedy,E5,"(30, 30)",7,21.0
9,Auction,T7,"(91, 57)",12,18.0
9,Auction,E2,"(24, 78)",9,19.0
9,Auction,E3,"(23, 32)",9,23.0
9,Auction,E4,"(46, 37)",11,16.0
9,Auction,E5,"(30, 30)",7,21.0
9,Q-Learning,E1,"(72, 55)",11,14.0
9,Q-Learning,E2,"(24, 78)",9,19.0
9,Q-Learning,E3,"(23, 32)",9,23.0
9,Q-Learning,E4,"(46, 37)",11,16.0
9,Q-Learning,E5,"(30, 30)",7,21.0
10,Greedy,E1,"(72, 55)",12,14.0
