time_step,method,vehicle_id,position,battery,busy,remaining_duration,idle_time
0,Greedy,V1,"(11, 97)",77.0,False,0.0,1.0
0,Greedy,V2,"(10, 68)",89.0,False,0.0,1.0
0,Greedy,V3,"(59, 54)",65.0,False,0.0,1.0
0,Greedy,V4,"(71, 17)",84.0,False,0.0,1.0
0,Greedy,V5,"(51, 24)",56.0,False,0.0,1.0
0,Greedy,V6,"(65, 71)",67.0,False,0.0,1.0
0,Greedy,V7,"(47, 45)",81.0,False,0.0,1.0
0,Greedy,V8,"(27, 92)",51.0,False,0.0,1.0
0,Greedy,V9,"(62, 45)",70.0,False,0.0,1.0
0,Greedy,V10,"(67, 55)",97.0,False,0.0,1.0
0,Auction,V1,"(11, 97)",77.0,False,0.0,1.0
0,Auction,V2,"(10, 68)",89.0,False,0.0,1.0
0,Auction,V3,"(59, 54)",65.0,False,0.0,1.0
0,Auction,V4,"(71, 17)",84.0,False,0.0,1.0
0,Auction,V5,"(51, 24)",56.0,False,0.0,1.0
0,Auction,V6,"(65, 71)",67.0,False,0.0,1.0
0,Auction,V7,"(47, 45)",81.0,False,0.0,1.0
0,Auction,V8,"(27, 92)",51.0,False,0.0,1.0
0,Auction,V9,"(62, 45)",70.0,False,0.0,1.0
0,Auction,V10,"(67, 55)",97.0,False,0.0,1.0
0,Q-Learning,V1,"(11, 97)",77.0,False,0.0,1.0
0,Q-Learning,V2,"(10, 68)",89.0,False,0.0,1.0
0,Q-Learning,V3,"(59, 54)",65.0,False,0.0,1.0
0,Q-Learning,V4,"(71, 17)",84.0,False,0.0,1.0
0,Q-Learning,V5,"(51, 24)",56.0,False,0.0,1.0
0,Q-Learning,V6,"(65, 71)",67.0,False,0.0,1.0
0,Q-Learning,V7,"(47, 45)",81.0,False,0.0,1.0
0,Q-Learning,V8,"(27, 92)",51.0,False,0.0,1.0
0,Q-Learning,V9,"(62, 45)",70.0,False,0.0,1.0
0,Q-Learning,V10,"(67, 55)",97.0,False,0.0,1.0
1,Greedy,V1,"(11, 97)",47.78082464227744,True,28.219175357722563,1.0
1,Greedy,V2,"(10, 68)",71.746530452835,True,16.253469547164993,1.0
1,Greedy,V3,"(59, 54)",40.178583601142336,True,23.82141639885766,1.0
1,Greedy,V4,"(71, 17)",71.83666923472161,True,11.163330765278394,1.0
1,Greedy,V5,"(51, 24)",26.257390030794312,True,28.742609969205688,1.0
1,Greedy,V6,"(65, 71)",34.18809598167819,True,31.811904018321812,1.0
1,Greedy,V7,"(47, 45)",47.098433363093456,True,32.901566636906544,1.0
1,Greedy,V8,"(27, 92)",38.35803103727542,True,11.641968962724581,1.0
1,Greedy,V9,"(62, 45)",43.07204714931031,True,25.92795285068969,1.0
1,Greedy,V10,"(67, 55)",79.27322003750035,True,16.72677996249965,1.0
1,Auction,V1,"(41, 35)",47.78082464227744,True,28.219175357722563,1.0
1,Auction,V2,"(11, 50)",71.746530452835,True,16.253469547164993,1.0
1,Auction,V3,"(53, 5)",38.54467327040335,True,25.455326729596646,1.0
1,Auction,V4,"(16, 20)",60.49182425843183,True,22.508175741568166,1.0
1,Auction,V5,"(27, 13)",26.19974747837061,True,28.80025252162939,1.0
1,Auction,V6,"(91, 77)",34.18809598167819,True,31.811904018321812,1.0
1,Auction,V7,"(42, 50)",59.64297739604484,True,20.35702260395516,1.0
1,Auction,V8,"(40, 69)",38.35803103727542,True,11.641968962724581,1.0
1,Auction,V9,"(43, 56)",37.25568769998748,True,31.744312300012517,1.0
1,Auction,V10,"(87, 45)",79.27322003750035,True,16.72677996249965,1.0
1,Q-Learning,V1,"(11, 97)",77.0,False,0.0,2.0
1,Q-Learning,V2,"(10, 68)",89.0,False,0.0,2.0
1,Q-Learning,V3,"(43, 56)",29.6251615011343,True,34.3748384988657,1.0
1,Q-Learning,V4,"(71, 17)",84.0,False,0.0,2.0
1,Q-Learning,V5,"(41, 35)",39.04464375089383,True,15.955356249106167,1.0
1,Q-Learning,V6,"(65, 71)",67.0,False,0.0,2.0
1,Q-Learning,V7,"(42, 50)",59.64297739604484,True,20.35702260395516,1.0
1,Q-Learning,V8,"(27, 92)",51.0,False,0.0,2.0
1,Q-Learning,V9,"(62, 45)",70.0,False,0.0,2.0
1,Q-Learning,V10,"(67, 55)",97.0,False,0.0,2.0
2,Greedy,V1,"(11, 97)",47.78082464227744,True,27.219175357722563,1.0
2,Greedy,V2,"(10, 68)",71.746530452835,True,15.253469547164993,1.0
2,Greedy,V3,"(59, 54)",40.178583601142336,True,22.82141639885766,1.0
2,Greedy,V4,"(71, 17)",71.83666923472161,True,10.163330765278394,1.0
2,Greedy,V5,"(51, 24)",26.257390030794312,True,27.742609969205688,1.0
2,Greedy,V6,"(65, 71)",34.18809598167819,True,30.811904018321812,1.0
2,Greedy,V7,"(47, 45)",47.098433363093456,True,31.901566636906544,1.0
2,Greedy,V8,"(27, 92)",38.35803103727542,True,10.641968962724581,1.0
2,Greedy,V9,"(62, 45)",43.07204714931031,True,24.92795285068969,1.0
2,Greedy,V10,"(67, 55)",79.27322003750035,True,15.726779962499648,1.0
2,Auction,V1,"(41, 35)",47.78082464227744,True,27.219175357722563,1.0
2,Auction,V2,"(11, 50)",71.746530452835,True,15.253469547164993,1.0
2,Auction,V3,"(53, 5)",38.54467327040335,True,24.455326729596646,1.0
2,Auction,V4,"(16, 20)",60.49182425843183,True,21.508175741568166,1.0
2,Auction,V5,"(27, 13)",26.19974747837061,True,27.80025252162939,1.0
2,Auction,V6,"(91, 77)",34.18809598167819,True,30.811904018321812,1.0
2,Auction,V7,"(42, 50)",59.64297739604484,True,19.35702260395516,1.0
2,Auction,V8,"(40, 69)",38.35803103727542,True,10.641968962724581,1.0
2,Auction,V9,"(43, 56)",37.25568769998748,True,30.744312300012517,1.0
2,Auction,V10,"(87, 45)",79.27322003750035,True,15.726779962499648,1.0
2,Q-Learning,V1,"(11, 97)",77.0,False,0.0,3.0
2,Q-Learning,V2,"(30, 51)",60.71889881289833,True,27.281101187101672,2.0
2,Q-Learning,V3,"(43, 56)",29.6251615011343,True,33.3748384988657,1.0
2,Q-Learning,V4,"(27, 13)",58.5818555931251,True,24.418144406874905,2.0
2,Q-Learning,V5,"(41, 35)",39.04464375089383,True,14.955356249106167,1.0
2,Q-Learning,V6,"(91, 77)",34.18809598167819,True,31.811904018321812,2.0
2,Q-Learning,V7,"(42, 50)",59.64297739604484,True,19.35702260395516,1.0
2,Q-Learning,V8,"(27, 92)",51.0,False,0.0,3.0
2,Q-Learning,V9,"(62, 45)",70.0,False,0.0,3.0
2,Q-Learning,V10,"(67, 55)",97.0,False,0.0,3.0
3,Greedy,V1,"(11, 97)",47.78082464227744,True,26.219175357722563,1.0
3,Greedy,V2,"(10, 68)",71.746530452835,True,14.253469547164993,1.0
3,Greedy,V3,"(59, 54)",40.178583601142336,True,21.82141639885766,1.0
3,Greedy,V4,"(71, 17)",71.83666923472161,True,9.163330765278394,1.0
3,Greedy,V5,"(51, 24)",26.257390030794312,True,26.742609969205688,1.0
3,Greedy,V6,"(65, 71)",34.18809598167819,True,29.811904018321812,1.0
3,Greedy,V7,"(47, 45)",47.098433363093456,True,30.901566636906544,1.0
3,Greedy,V8,"(27, 92)",38.35803103727542,True,9.641968962724581,1.0
3,Greedy,V9,"(62, 45)",43.07204714931031,True,23.92795285068969,1.0
3,Greedy,V10,"(67, 55)",79.27322003750035,True,14.726779962499648,1.0
3,Auction,V1,"(41, 35)",47.78082464227744,True,26.219175357722563,1.0
3,Auction,V2,"(11, 50)",71.746530452835,True,14.253469547164993,1.0
3,Auction,V3,"(53, 5)",38.54467327040335,True,23.455326729596646,1.0
3,Auction,V4,"(16, 20)",60.49182425843183,True,20.508175741568166,1.0
3,Auction,V5,"(27, 13)",26.19974747837061,True,26.80025252162939,1.0
3,Auction,V6,"(91, 77)",34.18809598167819,True,29.811904018321812,1.0
3,Auction,V7,"(42, 50)",59.64297739604484,True,18.35702260395516,1.0
3,Auction,V8,"(40, 69)",38.35803103727542,True,9.641968962724581,1.0
3,Auction,V9,"(43, 56)",37.25568769998748,True,29.744312300012517,1.0
3,Auction,V10,"(87, 45)",79.27322003750035,True,14.726779962499648,1.0
3,Q-Learning,V1,"(11, 97)",77.0,False,0.0,4.0
3,Q-Learning,V2,"(30, 51)",60.71889881289833,True,26.281101187101672,2.0
3,Q-Learning,V3,"(43, 56)",29.6251615011343,True,32.3748384988657,1.0
3,Q-Learning,V4,"(27, 13)",58.5818555931251,True,23.418144406874905,2.0
3,Q-Learning,V5,"(41, 35)",39.04464375089383,True,13.955356249106167,1.0
3,Q-Learning,V6,"(91, 77)",34.18809598167819,True,30.811904018321812,2.0
3,Q-Learning,V7,"(42, 50)",59.64297739604484,True,18.35702260395516,1.0
3,Q-Learning,V8,"(11, 50)",31.505558989151154,True,18.494441010848846,3.0
3,Q-Learning,V9,"(62, 45)",70.0,False,0.0,4.0
3,Q-Learning,V10,"(87, 45)",79.27322003750035,True,16.72677996249965,3.0
4,Greedy,V1,"(11, 97)",47.78082464227744,True,25.219175357722563,1.0
4,Greedy,V2,"(10, 68)",71.746530452835,True,13.253469547164993,1.0
4,Greedy,V3,"(59, 54)",40.178583601142336,True,20.82141639885766,1.0
4,Greedy,V4,"(71, 17)",71.83666923472161,True,8.163330765278394,1.0
4,Greedy,V5,"(51, 24)",26.257390030794312,True,25.742609969205688,1.0
4,Greedy,V6,"(65, 71)",34.18809598167819,True,28.811904018321812,1.0
4,Greedy,V7,"(47, 45)",47.098433363093456,True,29.901566636906544,1.0
4,Greedy,V8,"(27, 92)",38.35803103727542,True,8.641968962724581,1.0
4,Greedy,V9,"(62, 45)",43.07204714931031,True,22.92795285068969,1.0
4,Greedy,V10,"(67, 55)",79.27322003750035,True,13.726779962499648,1.0
4,Auction,V1,"(41, 35)",47.78082464227744,True,25.219175357722563,1.0
4,Auction,V2,"(11, 50)",71.746530452835,True,13.253469547164993,1.0
4,Auction,V3,"(53, 5)",38.54467327040335,True,22.455326729596646,1.0
4,Auction,V4,"(16, 20)",60.49182425843183,True,19.508175741568166,1.0
4,Auction,V5,"(27, 13)",26.19974747837061,True,25.80025252162939,1.0
4,Auction,V6,"(91, 77)",34.18809598167819,True,28.811904018321812,1.0
4,Auction,V7,"(42, 50)",59.64297739604484,True,17.35702260395516,1.0
4,Auction,V8,"(40, 69)",38.35803103727542,True,8.641968962724581,1.0
4,Auction,V9,"(43, 56)",37.25568769998748,True,28.744312300012517,1.0
4,Auction,V10,"(87, 45)",79.27322003750035,True,13.726779962499648,1.0
4,Q-Learning,V1,"(16, 20)",39.70945827613957,True,36.29054172386043,4.0
4,Q-Learning,V2,"(30, 51)",60.71889881289833,True,25.281101187101672,2.0
4,Q-Learning,V3,"(43, 56)",29.6251615011343,True,31.3748384988657,1.0
4,Q-Learning,V4,"(27, 13)",58.5818555931251,True,22.418144406874905,2.0
4,Q-Learning,V5,"(41, 35)",39.04464375089383,True,12.955356249106167,1.0
4,Q-Learning,V6,"(91, 77)",34.18809598167819,True,29.811904018321812,2.0
4,Q-Learning,V7,"(42, 50)",59.64297739604484,True,17.35702260395516,1.0
4,Q-Learning,V8,"(11, 50)",31.505558989151154,True,17.494441010848846,3.0
4,Q-Learning,V9,"(45, 15)",47.689765087608336,True,21.310234912391667,4.0
4,Q-Learning,V10,"(87, 45)",79.27322003750035,True,15.726779962499648,3.0
5,Greedy,V1,"(11, 97)",47.78082464227744,True,24.219175357722563,1.0
5,Greedy,V2,"(10, 68)",71.746530452835,True,12.253469547164993,1.0
5,Greedy,V3,"(59, 54)",40.178583601142336,True,19.82141639885766,1.0
5,Greedy,V4,"(71, 17)",71.83666923472161,True,7.163330765278394,1.0
5,Greedy,V5,"(51, 24)",26.257390030794312,True,24.742609969205688,1.0
5,Greedy,V6,"(65, 71)",34.18809598167819,True,27.811904018321812,1.0
5,Greedy,V7,"(47, 45)",47.098433363093456,True,28.901566636906544,1.0
5,Greedy,V8,"(27, 92)",38.35803103727542,True,7.641968962724581,1.0
5,Greedy,V9,"(62, 45)",43.07204714931031,True,21.92795285068969,1.0
5,Greedy,V10,"(67, 55)",79.27322003750035,True,12.726779962499648,1.0
5,Auction,V1,"(41, 35)",47.78082464227744,True,24.219175357722563,1.0
5,Auction,V2,"(11, 50)",71.746530452835,True,12.253469547164993,1.0
5,Auction,V3,"(53, 5)",38.54467327040335,True,21.455326729596646,1.0
5,Auction,V4,"(16, 20)",60.49182425843183,True,18.508175741568166,1.0
5,Auction,V5,"(27, 13)",26.19974747837061,True,24.80025252162939,1.0
5,Auction,V6,"(91, 77)",34.18809598167819,True,27.811904018321812,1.0
5,Auction,V7,"(42, 50)",59.64297739604484,True,16.35702260395516,1.0
5,Auction,V8,"(40, 69)",38.35803103727542,True,7.641968962724581,1.0
5,Auction,V9,"(43, 56)",37.25568769998748,True,27.744312300012517,1.0
5,Auction,V10,"(87, 45)",79.27322003750035,True,12.726779962499648,1.0
5,Q-Learning,V1,"(16, 20)",39.70945827613957,True,35.29054172386043,4.0
5,Q-Learning,V2,"(30, 51)",60.71889881289833,True,24.281101187101672,2.0
5,Q-Learning,V3,"(43, 56)",29.6251615011343,True,30.3748384988657,1.0
5,Q-Learning,V4,"(27, 13)",58.5818555931251,True,21.418144406874905,2.0
5,Q-Learning,V5,"(41, 35)",39.04464375089383,True,11.955356249106167,1.0
5,Q-Learning,V6,"(91, 77)",34.18809598167819,True,28.811904018321812,2.0
5,Q-Learning,V7,"(42, 50)",59.64297739604484,True,16.35702260395516,1.0
5,Q-Learning,V8,"(11, 50)",31.505558989151154,True,16.494441010848846,3.0
5,Q-Learning,V9,"(45, 15)",47.689765087608336,True,20.310234912391667,4.0
5,Q-Learning,V10,"(87, 45)",79.27322003750035,True,14.726779962499648,3.0
6,Greedy,V1,"(11, 97)",47.78082464227744,True,23.219175357722563,1.0
6,Greedy,V2,"(10, 68)",71.746530452835,True,11.253469547164993,1.0
6,Greedy,V3,"(59, 54)",40.178583601142336,True,18.82141639885766,1.0
6,Greedy,V4,"(71, 17)",71.83666923472161,True,6.163330765278394,1.0
6,Greedy,V5,"(51, 24)",26.257390030794312,True,23.742609969205688,1.0
6,Greedy,V6,"(65, 71)",34.18809598167819,True,26.811904018321812,1.0
6,Greedy,V7,"(47, 45)",47.098433363093456,True,27.901566636906544,1.0
6,Greedy,V8,"(27, 92)",38.35803103727542,True,6.641968962724581,1.0
6,Greedy,V9,"(62, 45)",43.07204714931031,True,20.92795285068969,1.0
6,Greedy,V10,"(67, 55)",79.27322003750035,True,11.726779962499648,1.0
6,Auction,V1,"(41, 35)",47.78082464227744,True,23.219175357722563,1.0
6,Auction,V2,"(11, 50)",71.746530452835,True,11.253469547164993,1.0
6,Auction,V3,"(53, 5)",38.54467327040335,True,20.455326729596646,1.0
6,Auction,V4,"(16, 20)",60.49182425843183,True,17.508175741568166,1.0
6,Auction,V5,"(27, 13)",26.19974747837061,True,23.80025252162939,1.0
6,Auction,V6,"(91, 77)",34.18809598167819,True,26.811904018321812,1.0
6,Auction,V7,"(42, 50)",59.64297739604484,True,15.357022603955159,1.0
6,Auction,V8,"(40, 69)",38.35803103727542,True,6.641968962724581,1.0
