time_step,method,task_id,position,urgency,duration
0,Greedy,T1,"(6, 35)",5,20.0
0,Greedy,T2,"(79, 73)",9,20.0
0,Greedy,T3,"(43, 4)",6,26.0
0,Greedy,T4,"(23, 67)",2,18.0
0,Greedy,T5,"(55, 51)",9,24.0
0,Greedy,T6,"(91, 26)",6,26.0
0,Greedy,T7,"(94, 66)",7,29.0
0,Greedy,T8,"(37, 27)",10,29.0
0,Greedy,T9,"(58, 94)",4,15.0
0,Greedy,T10,"(25, 28)",10,28.0
0,Auction,T1,"(6, 35)",5,20.0
0,Auction,T2,"(79, 73)",9,20.0
0,Auction,T3,"(43, 4)",6,26.0
0,Auction,T4,"(23, 67)",2,18.0
0,Auction,T5,"(55, 51)",9,24.0
0,Auction,T6,"(91, 26)",6,26.0
0,Auction,T7,"(94, 66)",7,29.0
0,Auction,T8,"(37, 27)",10,29.0
0,Auction,T9,"(58, 94)",4,15.0
0,Auction,T10,"(25, 28)",10,28.0
0,Q-Learning,T1,"(6, 35)",5,20.0
0,Q-Learning,T2,"(79, 73)",9,20.0
0,Q-Learning,T3,"(43, 4)",6,26.0
0,Q-Learning,T4,"(23, 67)",2,18.0
0,Q-Learning,T5,"(55, 51)",9,24.0
0,Q-Learning,T6,"(91, 26)",6,26.0
0,Q-Learning,T7,"(94, 66)",7,29.0
0,Q-Learning,T8,"(37, 27)",10,29.0
0,Q-Learning,T9,"(58, 94)",4,15.0
0,Q-Learning,T10,"(25, 28)",10,28.0
3,Greedy,D1,"(52, 49)",3,21.0
3,Auction,D1,"(52, 49)",3,21.0
3,Q-Learning,D1,"(52, 49)",3,21.0
4,Greedy,D1,"(52, 49)",4,21.0
4,Auction,D1,"(52, 49)",4,21.0
4,Q-Learning,D1,"(52, 49)",4,21.0
5,Greedy,D1,"(52, 49)",5,21.0
5,Auction,D1,"(52, 49)",5,21.0
5,Q-Learning,D1,"(52, 49)",5,21.0
6,Greedy,D1,"(52, 49)",6,21.0
6,Greedy,D2,"(70, 0)",7,14.0
6,Auction,D1,"(52, 49)",6,21.0
6,Auction,D2,"(70, 0)",7,14.0
6,Q-Learning,D1,"(52, 49)",6,21.0
6,Q-Learning,D2,"(70, 0)",7,14.0
7,Greedy,D1,"(52, 49)",7,21.0
7,Greedy,D2,"(70, 0)",8,14.0
7,Auction,D1,"(52, 49)",7,21.0
7,Auction,D2,"(70, 0)",8,14.0
7,Q-Learning,D1,"(52, 49)",7,21.0
7,Q-Learning,D2,"(70, 0)",8,14.0
8,Greedy,D1,"(52, 49)",8,21.0
8,Greedy,D2,"(70, 0)",9,14.0
8,Auction,D1,"(52, 49)",8,21.0
8,Auction,D2,"(70, 0)",9,14.0
8,Q-Learning,D1,"(52, 49)",8,21.0
8,Q-Learning,D2,"(70, 0)",9,14.0
9,Greedy,D1,"(52, 49)",9,21.0
9,Greedy,D2,"(70, 0)",10,14.0
9,Greedy,D3,"(34, 2)",3,18.0
9,Auction,D1,"(52, 49)",9,21.0
9,Auction,D2,"(70, 0)",10,14.0
9,Auction,D3,"(34, 2)",3,18.0
9,Q-Learning,D1,"(52, 49)",9,21.0
9,Q-Learning,D2,"(70, 0)",10,14.0
9,Q-Learning,D3,"(34, 2)",3,18.0
10,Greedy,D1,"(52, 49)",10,21.0
10,Greedy,D2,"(70, 0)",11,14.0
10,Greedy,D3,"(34, 2)",4,18.0
10,Greedy,D4,"(47, 45)",2,28.0
10,Auction,D1,"(52, 49)",10,21.0
10,Auction,D2,"(70, 0)",11,14.0
10,Auction,D3,"(34, 2)",4,18.0
10,Auction,D4,"(47, 45)",2,28.0
10,Q-Learning,D1,"(52, 49)",10,21.0
10,Q-Learning,D2,"(70, 0)",11,14.0
10,Q-Learning,D3,"(34, 2)",4,18.0
10,Q-Learning,D4,"(47, 45)",2,28.0
11,Greedy,D1,"(52, 49)",11,21.0
11,Greedy,D2,"(70, 0)",12,14.0
11,Greedy,D3,"(34, 2)",5,18.0
11,Greedy,D4,"(47, 45)",3,28.0
11,Auction,D1,"(52, 49)",11,21.0
11,Auction,D2,"(70, 0)",12,14.0
11,Auction,D3,"(34, 2)",5,18.0
11,Auction,D4,"(47, 45)",3,28.0
11,Q-Learning,D1,"(52, 49)",11,21.0
11,Q-Learning,D2,"(70, 0)",12,14.0
11,Q-Learning,D3,"(34, 2)",5,18.0
11,Q-Learning,D4,"(47, 45)",3,28.0
12,Greedy,D1,"(52, 49)",12,21.0
12,Greedy,D2,"(70, 0)",13,14.0
12,Greedy,D3,"(34, 2)",6,18.0
12,Greedy,D4,"(47, 45)",4,28.0
12,Greedy,D5,"(17, 16)",8,29.0
12,Auction,D1,"(52, 49)",12,21.0
12,Auction,D2,"(70, 0)",13,14.0
12,Auction,D3,"(34, 2)",6,18.0
12,Auction,D4,"(47, 45)",4,28.0
12,Auction,D5,"(17, 16)",8,29.0
12,Q-Learning,D1,"(52, 49)",12,21.0
12,Q-Learning,D2,"(70, 0)",13,14.0
12,Q-Learning,D3,"(34, 2)",6,18.0
12,Q-Learning,D4,"(47, 45)",4,28.0
12,Q-Learning,D5,"(17, 16)",8,29.0
13,Greedy,D1,"(52, 49)",13,21.0
13,Greedy,D2,"(70, 0)",14,14.0
13,Greedy,D3,"(34, 2)",7,18.0
13,Greedy,D4,"(47, 45)",5,28.0
13,Greedy,D5,"(17, 16)",9,29.0
13,Greedy,D6,"(46, 18)",10,11.0
13,Auction,D1,"(52, 49)",13,21.0
13,Auction,D2,"(70, 0)",14,14.0
13,Auction,D3,"(34, 2)",7,18.0
13,Auction,D4,"(47, 45)",5,28.0
13,Auction,D5,"(17, 16)",9,29.0
13,Auction,D6,"(46, 18)",10,11.0
13,Q-Learning,D1,"(52, 49)",13,21.0
13,Q-Learning,D2,"(70, 0)",14,14.0
13,Q-Learning,D3,"(34, 2)",7,18.0
13,Q-Learning,D4,"(47, 45)",5,28.0
13,Q-Learning,D5,"(17, 16)",9,29.0
13,Q-Learning,D6,"(46, 18)",10,11.0
14,Greedy,D1,"(52, 49)",14,21.0
14,Greedy,D2,"(70, 0)",15,14.0
14,Greedy,D3,"(34, 2)",8,18.0
14,Greedy,D4,"(47, 45)",6,28.0
14,Greedy,D5,"(17, 16)",10,29.0
14,Greedy,D6,"(46, 18)",11,11.0
14,Auction,D1,"(52, 49)",14,21.0
14,Auction,D2,"(70, 0)",15,14.0
14,Auction,D3,"(34, 2)",8,18.0
14,Auction,D4,"(47, 45)",6,28.0
14,Auction,D5,"(17, 16)",10,29.0
14,Auction,D6,"(46, 18)",11,11.0
14,Q-Learning,D1,"(52, 49)",14,21.0
14,Q-Learning,D2,"(70, 0)",15,14.0
14,Q-Learning,D3,"(34, 2)",8,18.0
14,Q-Learning,D4,"(47, 45)",6,28.0
14,Q-Learning,D5,"(17, 16)",10,29.0
14,Q-Learning,D6,"(46, 18)",11,11.0
15,Greedy,D1,"(52, 49)",15,21.0
15,Greedy,D2,"(70, 0)",16,14.0
15,Greedy,D3,"(34, 2)",9,18.0
15,Greedy,D4,"(47, 45)",7,28.0
15,Greedy,D5,"(17, 16)",11,29.0
15,Greedy,D6,"(46, 18)",12,11.0
15,Auction,D1,"(52, 49)",15,21.0
15,Auction,D2,"(70, 0)",16,14.0
15,Auction,D3,"(34, 2)",9,18.0
15,Auction,D4,"(47, 45)",7,28.0
15,Auction,D5,"(17, 16)",11,29.0
15,Auction,D6,"(46, 18)",12,11.0
15,Q-Learning,D1,"(52, 49)",15,21.0
15,Q-Learning,D2,"(70, 0)",16,14.0
15,Q-Learning,D3,"(34, 2)",9,18.0
15,Q-Learning,D4,"(47, 45)",7,28.0
15,Q-Learning,D5,"(17, 16)",11,29.0
15,Q-Learning,D6,"(46, 18)",12,11.0
16,Greedy,D1,"(52, 49)",16,21.0
16,Greedy,D2,"(70, 0)",17,14.0
16,Greedy,D3,"(34, 2)",10,18.0
16,Greedy,D4,"(47, 45)",8,28.0
16,Greedy,D5,"(17, 16)",12,29.0
16,Greedy,D6,"(46, 18)",13,11.0
16,Auction,D1,"(52, 49)",16,21.0
16,Auction,D2,"(70, 0)",17,14.0
16,Auction,D3,"(34, 2)",10,18.0
16,Auction,D4,"(47, 45)",8,28.0
16,Auction,D5,"(17, 16)",12,29.0
16,Auction,D6,"(46, 18)",13,11.0
16,Q-Learning,D1,"(52, 49)",16,21.0
16,Q-Learning,D2,"(70, 0)",17,14.0
16,Q-Learning,D3,"(34, 2)",10,18.0
16,Q-Learning,D4,"(47, 45)",8,28.0
16,Q-Learning,D5,"(17, 16)",12,29.0
16,Q-Learning,D6,"(46, 18)",13,11.0
17,Greedy,D1,"(52, 49)",17,21.0
17,Greedy,D2,"(70, 0)",18,14.0
17,Greedy,D3,"(34, 2)",11,18.0
17,Greedy,D4,"(47, 45)",9,28.0
17,Greedy,D5,"(17, 16)",13,29.0
17,Greedy,D6,"(46, 18)",14,11.0
17,Greedy,D7,"(99, 50)",5,22.0
17,Auction,D1,"(52, 49)",17,21.0
17,Auction,D2,"(70, 0)",18,14.0
17,Auction,D3,"(34, 2)",11,18.0
17,Auction,D4,"(47, 45)",9,28.0
17,Auction,D5,"(17, 16)",13,29.0
17,Auction,D6,"(46, 18)",14,11.0
17,Auction,D7,"(99, 50)",5,22.0
17,Q-Learning,D1,"(52, 49)",17,21.0
17,Q-Learning,D2,"(70, 0)",18,14.0
17,Q-Learning,D3,"(34, 2)",11,18.0
17,Q-Learning,D4,"(47, 45)",9,28.0
17,Q-Learning,D5,"(17, 16)",13,29.0
17,Q-Learning,D6,"(46, 18)",14,11.0
17,Q-Learning,D7,"(99, 50)",5,22.0
18,Greedy,D1,"(52, 49)",18,21.0
18,Greedy,D2,"(70, 0)",19,14.0
18,Greedy,D3,"(34, 2)",12,18.0
18,Greedy,D4,"(47, 45)",10,28.0
18,Greedy,D5,"(17, 16)",14,29.0
18,Greedy,D6,"(46, 18)",15,11.0
18,Greedy,D7,"(99, 50)",6,22.0
18,Greedy,D8,"(85, 87)",6,13.0
18,Auction,D1,"(52, 49)",18,21.0
18,Auction,D2,"(70, 0)",19,14.0
18,Auction,D3,"(34, 2)",12,18.0
18,Auction,D4,"(47, 45)",10,28.0
18,Auction,D5,"(17, 16)",14,29.0
18,Auction,D6,"(46, 18)",15,11.0
18,Auction,D7,"(99, 50)",6,22.0
18,Auction,D8,"(85, 87)",6,13.0
18,Q-Learning,D1,"(52, 49)",18,21.0
18,Q-Learning,D2,"(70, 0)",19,14.0
18,Q-Learning,D3,"(34, 2)",12,18.0
18,Q-Learning,D4,"(47, 45)",10,28.0
18,Q-Learning,D5,"(17, 16)",14,29.0
18,Q-Learning,D6,"(46, 18)",15,11.0
18,Q-Learning,D7,"(99, 50)",6,22.0
18,Q-Learning,D8,"(85, 87)",6,13.0
19,Greedy,D1,"(52, 49)",19,21.0
19,Greedy,D3,"(34, 2)",13,18.0
19,Greedy,D4,"(47, 45)",11,28.0
19,Greedy,D5,"(17, 16)",15,29.0
19,Greedy,D6,"(46, 18)",16,11.0
19,Greedy,D7,"(99, 50)",7,22.0
19,Greedy,D8,"(85, 87)",7,13.0
19,Greedy,D9,"(80, 66)",8,18.0
19,Auction,D1,"(52, 49)",19,21.0
19,Auction,D2,"(70, 0)",20,14.0
19,Auction,D3,"(34, 2)",13,18.0
19,Auction,D4,"(47, 45)",11,28.0
19,Auction,D5,"(17, 16)",15,29.0
19,Auction,D6,"(46, 18)",16,11.0
19,Auction,D7,"(99, 50)",7,22.0
19,Auction,D8,"(85, 87)",7,13.0
19,Auction,D9,"(80, 66)",8,18.0
19,Q-Learning,D1,"(52, 49)",19,21.0
19,Q-Learning,D2,"(70, 0)",20,14.0
19,Q-Learning,D3,"(34, 2)",13,18.0
19,Q-Learning,D4,"(47, 45)",11,28.0
19,Q-Learning,D5,"(17, 16)",15,29.0
19,Q-Learning,D6,"(46, 18)",16,11.0
19,Q-Learning,D7,"(99, 50)",7,22.0
19,Q-Learning,D8,"(85, 87)",7,13.0
19,Q-Learning,D9,"(80, 66)",8,18.0
20,Greedy,D1,"(52, 49)",20,21.0
20,Greedy,D3,"(34, 2)",14,18.0
20,Greedy,D4,"(47, 45)",12,28.0
20,Greedy,D5,"(17, 16)",16,29.0
20,Greedy,D6,"(46, 18)",17,11.0
20,Greedy,D7,"(99, 50)",8,22.0
20,Greedy,D8,"(85, 87)",8,13.0
20,Greedy,D9,"(80, 66)",9,18.0
20,Greedy,D10,"(69, 31)",8,20.0
20,Auction,D1,"(52, 49)",20,21.0
20,Auction,D2,"(70, 0)",21,14.0
20,Auction,D3,"(34, 2)",14,18.0
20,Auction,D4,"(47, 45)",12,28.0
20,Auction,D5,"(17, 16)",16,29.0
20,Auction,D6,"(46, 18)",17,11.0
20,Auction,D7,"(99, 50)",8,22.0
20,Auction,D8,"(85, 87)",8,13.0
20,Auction,D9,"(80, 66)",9,18.0
20,Auction,D10,"(69, 31)",8,20.0
20,Q-Learning,D1,"(52, 49)",20,21.0
20,Q-Learning,D2,"(70, 0)",21,14.0
20,Q-Learning,D3,"(34, 2)",14,18.0
20,Q-Learning,D4,"(47, 45)",12,28.0
20,Q-Learning,D5,"(17, 16)",16,29.0
20,Q-Learning,D6,"(46, 18)",17,11.0
20,Q-Learning,D7,"(99, 50)",8,22.0
20,Q-Learning,D8,"(85, 87)",8,13.0
20,Q-Learning,D9,"(80, 66)",9,18.0
20,Q-Learning,D10,"(69, 31)",8,20.0
21,Greedy,D1,"(52, 49)",21,21.0
21,Greedy,D3,"(34, 2)",15,18.0
21,Greedy,D4,"(47, 45)",13,28.0
21,Greedy,D5,"(17, 16)",17,29.0
21,Greedy,D6,"(46, 18)",18,11.0
21,Greedy,D7,"(99, 50)",9,22.0
