time_step,method,task_id,position,urgency,duration
0,Greedy,T1,"(95, 69)",10,13.0
0,Greedy,T2,"(45, 74)",1,17.0
0,Greedy,T3,"(67, 96)",1,20.0
0,Greedy,T4,"(50, 47)",2,20.0
0,Greedy,T5,"(64, 4)",2,20.0
0,Greedy,T6,"(89, 3)",3,26.0
0,Greedy,T7,"(40, 71)",9,26.0
0,Greedy,T8,"(18, 20)",6,22.0
0,Greedy,T9,"(29, 21)",4,15.0
0,Greedy,T10,"(37, 12)",9,28.0
0,Auction,T1,"(95, 69)",10,13.0
0,Auction,T2,"(45, 74)",1,17.0
0,Auction,T3,"(67, 96)",1,20.0
0,Auction,T4,"(50, 47)",2,20.0
0,Auction,T5,"(64, 4)",2,20.0
0,Auction,T6,"(89, 3)",3,26.0
0,Auction,T7,"(40, 71)",9,26.0
0,Auction,T8,"(18, 20)",6,22.0
0,Auction,T9,"(29, 21)",4,15.0
0,Auction,T10,"(37, 12)",9,28.0
0,Q-Learning,T1,"(95, 69)",10,13.0
0,Q-Learning,T2,"(45, 74)",1,17.0
0,Q-Learning,T3,"(67, 96)",1,20.0
0,Q-Learning,T4,"(50, 47)",2,20.0
0,Q-Learning,T5,"(64, 4)",2,20.0
0,Q-Learning,T6,"(89, 3)",3,26.0
0,Q-Learning,T7,"(40, 71)",9,26.0
0,Q-Learning,T8,"(18, 20)",6,22.0
0,Q-Learning,T9,"(29, 21)",4,15.0
0,Q-Learning,T10,"(37, 12)",9,28.0
1,Greedy,D1,"(78, 72)",1,24.0
1,Auction,D1,"(78, 72)",1,24.0
1,Q-Learning,T2,"(45, 74)",2,17.0
1,Q-Learning,T3,"(67, 96)",2,20.0
2,Greedy,D1,"(78, 72)",2,24.0
2,Auction,D1,"(78, 72)",2,24.0
2,Q-Learning,T3,"(67, 96)",3,20.0
3,Greedy,D1,"(78, 72)",3,24.0
3,Auction,D1,"(78, 72)",3,24.0
3,Q-Learning,T3,"(67, 96)",4,20.0
4,Greedy,D1,"(78, 72)",4,24.0
4,Greedy,D2,"(32, 49)",8,27.0
4,Auction,D1,"(78, 72)",4,24.0
4,Auction,D2,"(32, 49)",8,27.0
4,Q-Learning,T3,"(67, 96)",5,20.0
4,Q-Learning,D2,"(32, 49)",8,27.0
5,Greedy,D1,"(78, 72)",5,24.0
5,Greedy,D2,"(32, 49)",9,27.0
5,Greedy,D3,"(41, 66)",4,17.0
5,Auction,D1,"(78, 72)",5,24.0
5,Auction,D2,"(32, 49)",9,27.0
5,Auction,D3,"(41, 66)",4,17.0
5,Q-Learning,T3,"(67, 96)",6,20.0
5,Q-Learning,D2,"(32, 49)",9,27.0
5,Q-Learning,D3,"(41, 66)",4,17.0
6,Greedy,D1,"(78, 72)",6,24.0
6,Greedy,D2,"(32, 49)",10,27.0
6,Greedy,D3,"(41, 66)",5,17.0
6,Greedy,D4,"(28, 32)",6,11.0
6,Auction,D1,"(78, 72)",6,24.0
6,Auction,D2,"(32, 49)",10,27.0
6,Auction,D3,"(41, 66)",5,17.0
6,Auction,D4,"(28, 32)",6,11.0
6,Q-Learning,T3,"(67, 96)",7,20.0
6,Q-Learning,D2,"(32, 49)",10,27.0
6,Q-Learning,D3,"(41, 66)",5,17.0
6,Q-Learning,D4,"(28, 32)",6,11.0
7,Greedy,D1,"(78, 72)",7,24.0
7,Greedy,D2,"(32, 49)",11,27.0
7,Greedy,D3,"(41, 66)",6,17.0
7,Greedy,D4,"(28, 32)",7,11.0
7,Greedy,D5,"(25, 98)",4,25.0
7,Auction,D1,"(78, 72)",7,24.0
7,Auction,D2,"(32, 49)",11,27.0
7,Auction,D3,"(41, 66)",6,17.0
7,Auction,D4,"(28, 32)",7,11.0
7,Auction,D5,"(25, 98)",4,25.0
7,Q-Learning,T3,"(67, 96)",8,20.0
7,Q-Learning,D2,"(32, 49)",11,27.0
7,Q-Learning,D3,"(41, 66)",6,17.0
7,Q-Learning,D4,"(28, 32)",7,11.0
7,Q-Learning,D5,"(25, 98)",4,25.0
8,Greedy,D1,"(78, 72)",8,24.0
8,Greedy,D2,"(32, 49)",12,27.0
8,Greedy,D3,"(41, 66)",7,17.0
8,Greedy,D4,"(28, 32)",8,11.0
8,Greedy,D5,"(25, 98)",5,25.0
8,Auction,D1,"(78, 72)",8,24.0
8,Auction,D2,"(32, 49)",12,27.0
8,Auction,D3,"(41, 66)",7,17.0
8,Auction,D4,"(28, 32)",8,11.0
8,Auction,D5,"(25, 98)",5,25.0
8,Q-Learning,T3,"(67, 96)",9,20.0
8,Q-Learning,D2,"(32, 49)",12,27.0
8,Q-Learning,D3,"(41, 66)",7,17.0
8,Q-Learning,D4,"(28, 32)",8,11.0
8,Q-Learning,D5,"(25, 98)",5,25.0
9,Greedy,D1,"(78, 72)",9,24.0
9,Greedy,D2,"(32, 49)",13,27.0
9,Greedy,D3,"(41, 66)",8,17.0
9,Greedy,D4,"(28, 32)",9,11.0
9,Greedy,D5,"(25, 98)",6,25.0
9,Greedy,D6,"(14, 32)",9,12.0
9,Auction,D1,"(78, 72)",9,24.0
9,Auction,D2,"(32, 49)",13,27.0
9,Auction,D3,"(41, 66)",8,17.0
9,Auction,D4,"(28, 32)",9,11.0
9,Auction,D5,"(25, 98)",6,25.0
9,Auction,D6,"(14, 32)",9,12.0
9,Q-Learning,T3,"(67, 96)",10,20.0
9,Q-Learning,D2,"(32, 49)",13,27.0
9,Q-Learning,D3,"(41, 66)",8,17.0
9,Q-Learning,D4,"(28, 32)",9,11.0
9,Q-Learning,D5,"(25, 98)",6,25.0
9,Q-Learning,D6,"(14, 32)",9,12.0
10,Greedy,D1,"(78, 72)",10,24.0
10,Greedy,D2,"(32, 49)",14,27.0
10,Greedy,D3,"(41, 66)",9,17.0
10,Greedy,D4,"(28, 32)",10,11.0
10,Greedy,D5,"(25, 98)",7,25.0
10,Greedy,D6,"(14, 32)",10,12.0
10,Greedy,D7,"(39, 3)",2,12.0
10,Auction,D1,"(78, 72)",10,24.0
10,Auction,D2,"(32, 49)",14,27.0
10,Auction,D3,"(41, 66)",9,17.0
10,Auction,D4,"(28, 32)",10,11.0
10,Auction,D5,"(25, 98)",7,25.0
10,Auction,D6,"(14, 32)",10,12.0
10,Auction,D7,"(39, 3)",2,12.0
10,Q-Learning,T3,"(67, 96)",11,20.0
10,Q-Learning,D2,"(32, 49)",14,27.0
10,Q-Learning,D3,"(41, 66)",9,17.0
10,Q-Learning,D4,"(28, 32)",10,11.0
10,Q-Learning,D5,"(25, 98)",7,25.0
10,Q-Learning,D6,"(14, 32)",10,12.0
10,Q-Learning,D7,"(39, 3)",2,12.0
11,Greedy,D1,"(78, 72)",11,24.0
11,Greedy,D2,"(32, 49)",15,27.0
11,Greedy,D3,"(41, 66)",10,17.0
11,Greedy,D4,"(28, 32)",11,11.0
11,Greedy,D5,"(25, 98)",8,25.0
11,Greedy,D6,"(14, 32)",11,12.0
11,Greedy,D7,"(39, 3)",3,12.0
11,Greedy,D8,"(48, 47)",1,23.0
11,Auction,D1,"(78, 72)",11,24.0
11,Auction,D2,"(32, 49)",15,27.0
11,Auction,D3,"(41, 66)",10,17.0
11,Auction,D4,"(28, 32)",11,11.0
11,Auction,D5,"(25, 98)",8,25.0
11,Auction,D6,"(14, 32)",11,12.0
11,Auction,D7,"(39, 3)",3,12.0
11,Auction,D8,"(48, 47)",1,23.0
11,Q-Learning,T3,"(67, 96)",12,20.0
11,Q-Learning,D2,"(32, 49)",15,27.0
11,Q-Learning,D3,"(41, 66)",10,17.0
11,Q-Learning,D4,"(28, 32)",11,11.0
11,Q-Learning,D5,"(25, 98)",8,25.0
11,Q-Learning,D6,"(14, 32)",11,12.0
11,Q-Learning,D7,"(39, 3)",3,12.0
11,Q-Learning,D8,"(48, 47)",1,23.0
12,Greedy,D1,"(78, 72)",12,24.0
12,Greedy,D2,"(32, 49)",16,27.0
12,Greedy,D3,"(41, 66)",11,17.0
12,Greedy,D4,"(28, 32)",12,11.0
12,Greedy,D5,"(25, 98)",9,25.0
12,Greedy,D6,"(14, 32)",12,12.0
12,Greedy,D7,"(39, 3)",4,12.0
12,Greedy,D8,"(48, 47)",2,23.0
12,Greedy,D9,"(7, 5)",4,27.0
12,Auction,D1,"(78, 72)",12,24.0
12,Auction,D2,"(32, 49)",16,27.0
12,Auction,D3,"(41, 66)",11,17.0
12,Auction,D4,"(28, 32)",12,11.0
12,Auction,D5,"(25, 98)",9,25.0
12,Auction,D6,"(14, 32)",12,12.0
12,Auction,D7,"(39, 3)",4,12.0
12,Auction,D8,"(48, 47)",2,23.0
12,Auction,D9,"(7, 5)",4,27.0
12,Q-Learning,T3,"(67, 96)",13,20.0
12,Q-Learning,D2,"(32, 49)",16,27.0
12,Q-Learning,D3,"(41, 66)",11,17.0
12,Q-Learning,D4,"(28, 32)",12,11.0
12,Q-Learning,D5,"(25, 98)",9,25.0
12,Q-Learning,D6,"(14, 32)",12,12.0
12,Q-Learning,D7,"(39, 3)",4,12.0
12,Q-Learning,D8,"(48, 47)",2,23.0
12,Q-Learning,D9,"(7, 5)",4,27.0
13,Greedy,D1,"(78, 72)",13,24.0
13,Greedy,D2,"(32, 49)",17,27.0
13,Greedy,D3,"(41, 66)",12,17.0
13,Greedy,D4,"(28, 32)",13,11.0
13,Greedy,D5,"(25, 98)",10,25.0
13,Greedy,D6,"(14, 32)",13,12.0
13,Greedy,D7,"(39, 3)",5,12.0
13,Greedy,D8,"(48, 47)",3,23.0
13,Greedy,D9,"(7, 5)",5,27.0
13,Auction,D1,"(78, 72)",13,24.0
13,Auction,D2,"(32, 49)",17,27.0
13,Auction,D3,"(41, 66)",12,17.0
13,Auction,D4,"(28, 32)",13,11.0
13,Auction,D5,"(25, 98)",10,25.0
13,Auction,D6,"(14, 32)",13,12.0
13,Auction,D7,"(39, 3)",5,12.0
13,Auction,D8,"(48, 47)",3,23.0
13,Auction,D9,"(7, 5)",5,27.0
13,Q-Learning,T3,"(67, 96)",14,20.0
13,Q-Learning,D2,"(32, 49)",17,27.0
13,Q-Learning,D3,"(41, 66)",12,17.0
13,Q-Learning,D4,"(28, 32)",13,11.0
13,Q-Learning,D5,"(25, 98)",10,25.0
13,Q-Learning,D6,"(14, 32)",13,12.0
13,Q-Learning,D7,"(39, 3)",5,12.0
13,Q-Learning,D8,"(48, 47)",3,23.0
13,Q-Learning,D9,"(7, 5)",5,27.0
14,Greedy,D1,"(78, 72)",14,24.0
14,Greedy,D2,"(32, 49)",18,27.0
14,Greedy,D3,"(41, 66)",13,17.0
14,Greedy,D4,"(28, 32)",14,11.0
14,Greedy,D5,"(25, 98)",11,25.0
14,Greedy,D6,"(14, 32)",14,12.0
14,Greedy,D7,"(39, 3)",6,12.0
14,Greedy,D8,"(48, 47)",4,23.0
14,Greedy,D9,"(7, 5)",6,27.0
14,Auction,D1,"(78, 72)",14,24.0
14,Auction,D2,"(32, 49)",18,27.0
14,Auction,D3,"(41, 66)",13,17.0
14,Auction,D4,"(28, 32)",14,11.0
14,Auction,D5,"(25, 98)",11,25.0
14,Auction,D6,"(14, 32)",14,12.0
14,Auction,D7,"(39, 3)",6,12.0
14,Auction,D8,"(48, 47)",4,23.0
14,Auction,D9,"(7, 5)",6,27.0
14,Q-Learning,T3,"(67, 96)",15,20.0
14,Q-Learning,D2,"(32, 49)",18,27.0
14,Q-Learning,D3,"(41, 66)",13,17.0
14,Q-Learning,D4,"(28, 32)",14,11.0
14,Q-Learning,D5,"(25, 98)",11,25.0
14,Q-Learning,D6,"(14, 32)",14,12.0
14,Q-Learning,D7,"(39, 3)",6,12.0
14,Q-Learning,D8,"(48, 47)",4,23.0
14,Q-Learning,D9,"(7, 5)",6,27.0
15,Greedy,D1,"(78, 72)",15,24.0
15,Greedy,D2,"(32, 49)",19,27.0
15,Greedy,D3,"(41, 66)",14,17.0
15,Greedy,D4,"(28, 32)",15,11.0
15,Greedy,D5,"(25, 98)",12,25.0
15,Greedy,D6,"(14, 32)",15,12.0
15,Greedy,D7,"(39, 3)",7,12.0
15,Greedy,D8,"(48, 47)",5,23.0
15,Greedy,D9,"(7, 5)",7,27.0
15,Greedy,D10,"(4, 93)",1,20.0
15,Auction,D1,"(78, 72)",15,24.0
15,Auction,D2,"(32, 49)",19,27.0
15,Auction,D3,"(41, 66)",14,17.0
15,Auction,D4,"(28, 32)",15,11.0
15,Auction,D5,"(25, 98)",12,25.0
15,Auction,D6,"(14, 32)",15,12.0
15,Auction,D7,"(39, 3)",7,12.0
15,Auction,D8,"(48, 47)",5,23.0
15,Auction,D9,"(7, 5)",7,27.0
15,Auction,D10,"(4, 93)",1,20.0
15,Q-Learning,T3,"(67, 96)",16,20.0
15,Q-Learning,D2,"(32, 49)",19,27.0
15,Q-Learning,D3,"(41, 66)",14,17.0
15,Q-Learning,D4,"(28, 32)",15,11.0
15,Q-Learning,D5,"(25, 98)",12,25.0
15,Q-Learning,D6,"(14, 32)",15,12.0
15,Q-Learning,D7,"(39, 3)",7,12.0
15,Q-Learning,D8,"(48, 47)",5,23.0
15,Q-Learning,D9,"(7, 5)",7,27.0
15,Q-Learning,D10,"(4, 93)",1,20.0
16,Greedy,D1,"(78, 72)",16,24.0
16,Greedy,D2,"(32, 49)",20,27.0
16,Greedy,D3,"(41, 66)",15,17.0
16,Greedy,D4,"(28, 32)",16,11.0
16,Greedy,D5,"(25, 98)",13,25.0
16,Greedy,D6,"(14, 32)",16,12.0
16,Greedy,D7,"(39, 3)",8,12.0
16,Greedy,D8,"(48, 47)",6,23.0
16,Greedy,D9,"(7, 5)",8,27.0
16,Greedy,D10,"(4, 93)",2,20.0
16,Greedy,D11,"(47, 0)",6,14.0
16,Auction,D1,"(78, 72)",16,24.0
16,Auction,D2,"(32, 49)",20,27.0
16,Auction,D3,"(41, 66)",15,17.0
16,Auction,D4,"(28, 32)",16,11.0
16,Auction,D5,"(25, 98)",13,25.0
16,Auction,D6,"(14, 32)",16,12.0
16,Auction,D7,"(39, 3)",8,12.0
16,Auction,D8,"(48, 47)",6,23.0
16,Auction,D9,"(7, 5)",8,27.0
16,Auction,D10,"(4, 93)",2,20.0
16,Auction,D11,"(47, 0)",6,14.0
16,Q-Learning,T3,"(67, 96)",17,20.0
16,Q-Learning,D2,"(32, 49)",20,27.0
16,Q-Learning,D3,"(41, 66)",15,17.0
16,Q-Learning,D4,"(28, 32)",16,11.0
16,Q-Learning,D5,"(25, 98)",13,25.0
16,Q-Learning,D6,"(14, 32)",16,12.0
16,Q-Learning,D7,"(39, 3)",8,12.0
16,Q-Learning,D8,"(48, 47)",6,23.0
16,Q-Learning,D9,"(7, 5)",8,27.0
16,Q-Learning,D10,"(4, 93)",2,20.0
16,Q-Learning,D11,"(47, 0)",6,14.0
17,Greedy,D1,"(78, 72)",17,24.0
17,Greedy,D3,"(41, 66)",16,17.0
17,Greedy,D4,"(28, 32)",17,11.0
17,Greedy,D5,"(25, 98)",14,25.0
17,Greedy,D6,"(14, 32)",17,12.0
17,Greedy,D7,"(39, 3)",9,12.0
17,Greedy,D8,"(48, 47)",7,23.0
17,Greedy,D9,"(7, 5)",9,27.0
17,Greedy,D10,"(4, 93)",3,20.0
17,Greedy,D11,"(47, 0)",7,14.0
17,Greedy,D12,"(1, 59)",8,25.0
17,Auction,D2,"(32, 49)",21,27.0
17,Auction,D3,"(41, 66)",16,17.0
17,Auction,D4,"(28, 32)",17,11.0
17,Auction,D5,"(25, 98)",14,25.0
17,Auction,D6,"(14, 32)",17,12.0
17,Auction,D7,"(39, 3)",9,12.0
17,Auction,D8,"(48, 47)",7,23.0
17,Auction,D9,"(7, 5)",9,27.0
17,Auction,D10,"(4, 93)",3,20.0
17,Auction,D11,"(47, 0)",7,14.0
17,Auction,D12,"(1, 59)",8,25.0
17,Q-Learning,T3,"(67, 96)",18,20.0
17,Q-Learning,D2,"(32, 49)",21,27.0
17,Q-Learning,D3,"(41, 66)",16,17.0
17,Q-Learning,D4,"(28, 32)",17,11.0
17,Q-Learning,D5,"(25, 98)",14,25.0
17,Q-Learning,D6,"(14, 32)",17,12.0
17,Q-Learning,D7,"(39, 3)",9,12.0
17,Q-Learning,D8,"(48, 47)",7,23.0
