task_id,task_duration,travel_time,engagement_time,normalized_engagement_time,energy_consumed
T2,29.0,5.962847939999439,34.96284793999944,1.2056154462068773,34.96284793999944
T4,17.0,0.4,17.4,1.0235294117647058,17.4
T6,21.0,0.282842712474619,21.28284271247462,1.0134687005940295,21.28284271247462
T7,25.0,1.104536101718726,26.104536101718725,1.044181444068749,26.104536101718725
D1,28.0,3.1868871959954905,31.18688719599549,1.1138173998569818,31.18688719599549
T9,15.0,1.5811388300841895,16.58113883008419,1.1054092553389459,16.58113883008419
T8,22.0,4.626895640200471,26.62689564020047,1.2103134381909304,26.62689564020047
T1,23.0,4.025310547026154,27.025310547026155,1.1750135020446155,27.025310547026155
T10,27.0,10.394229168149026,37.394229168149025,1.3849714506721862,37.394229168149025
T5,12.0,11.718041645257966,23.718041645257966,1.9765034704381639,23.718041645257966
T3,28.0,2.906888370749727,30.906888370749726,1.1038174418124902,30.906888370749726
D2,29.0,3.66742416417845,32.66742416417845,1.12646290221305,32.66742416417845
D3,11.0,7.03846574190711,18.03846574190711,1.6398605219915554,18.03846574190711
D6,20.0,1.4577379737113252,21.457737973711325,1.0728868986855662,21.457737973711325
D4,13.0,8.243736026430577,21.243736026430575,1.6341335404946595,21.243736026430575
D9,21.0,5.755866572463264,26.755866572463262,1.2740888844030125,26.755866572463262
D5,14.0,1.505199322349037,15.505199322349037,1.1075142373106455,15.505199322349037
D7,10.0,4.544914740674461,14.54491474067446,1.4544914740674462,14.54491474067446
D10,20.0,27.131367660166177,47.13136766016618,2.356568383008309,47.13136766016618
D11,10.0,7.42159012611179,17.421590126111788,1.7421590126111788,17.421590126111788
D8,13.0,10.307764064044152,23.30776406404415,1.7929049280033962,23.30776406404415
D14,11.0,8.016584372411982,19.016584372411984,1.7287803974919986,19.016584372411984
D12,25.0,4.889401803901986,29.889401803901986,1.1955760721560795,29.889401803901986
D13,20.0,7.905694150420949,27.90569415042095,1.3952847075210475,27.90569415042095
D16,17.0,5.693856338194704,22.693856338194703,1.334932725776159,22.693856338194703
D27,11.0,7.134861596415168,18.134861596415167,1.648623781492288,18.134861596415167
D15,10.0,6.000833275470999,16.000833275471,1.6000833275470998,16.000833275471
D19,17.0,1.3038404810405297,18.30384048104053,1.0766964988847372,18.30384048104053
D42,10.0,3.3105890714493698,13.31058907144937,1.331058907144937,13.31058907144937
