time_step,method,task_id,position,urgency,duration
71,Greedy,E34,"(94, 21)",8,26.0
71,Greedy,E35,"(23, 49)",5,18.0
71,Greedy,E36,"(53, 60)",3,15.0
71,Auction,E17,"(92, 80)",48,22.0
71,Auction,E18,"(1, 27)",42,15.0
71,Auction,E19,"(41, 18)",45,24.0
71,Auction,E22,"(39, 92)",36,29.0
71,Auction,E23,"(12, 20)",34,15.0
71,Auction,E24,"(78, 42)",36,25.0
71,Auction,E25,"(33, 41)",27,17.0
71,Auction,E26,"(73, 66)",23,12.0
71,Auction,E27,"(0, 68)",31,24.0
71,Auction,E28,"(61, 14)",18,10.0
71,Auction,E29,"(73, 21)",23,18.0
71,Auction,E30,"(95, 1)",18,18.0
71,Auction,E31,"(7, 23)",10,13.0
71,Auction,E32,"(44, 26)",12,19.0
71,Auction,E33,"(89, 55)",11,28.0
71,Auction,E34,"(94, 21)",8,26.0
71,Auction,E35,"(23, 49)",5,18.0
71,Auction,E36,"(53, 60)",3,15.0
71,Q-Learning,E14,"(46, 39)",54,27.0
71,Q-Learning,E17,"(92, 80)",48,22.0
71,Q-Learning,E18,"(1, 27)",42,15.0
71,Q-Learning,E19,"(41, 18)",45,24.0
71,Q-Learning,E20,"(29, 80)",44,13.0
71,Q-Learning,E22,"(39, 92)",36,29.0
71,Q-Learning,E23,"(12, 20)",34,15.0
71,Q-Learning,E25,"(33, 41)",27,17.0
71,Q-Learning,E26,"(73, 66)",23,12.0
71,Q-Learning,E27,"(0, 68)",31,24.0
71,Q-Learning,E28,"(61, 14)",18,10.0
71,Q-Learning,E29,"(73, 21)",23,18.0
71,Q-Learning,E30,"(95, 1)",18,18.0
71,Q-Learning,E31,"(7, 23)",10,13.0
71,Q-Learning,E32,"(44, 26)",12,19.0
71,Q-Learning,E33,"(89, 55)",11,28.0
71,Q-Learning,E34,"(94, 21)",8,26.0
71,Q-Learning,E35,"(23, 49)",5,18.0
71,Q-Learning,E36,"(53, 60)",3,15.0
72,Greedy,E16,"(25, 53)",48,19.0
