task_id,task_duration,travel_time,engagement_time,normalized_engagement_time,energy_consumed
T9,24.0,1.0061539042374907,25.00615390423749,1.0419230793432288,25.00615390423749
T6,10.0,3.431546328418375,13.431546328418374,1.3431546328418373,13.431546328418374
T4,10.0,2.1081851067789197,12.108185106778919,1.210818510677892,12.108185106778919
T8,25.0,4.716990566028302,29.7169905660283,1.188679622641132,29.7169905660283
T3,25.0,7.603453162872775,32.603453162872775,1.304138126514911,32.603453162872775
T2,16.0,3.605551275463989,19.605551275463988,1.2253469547164992,19.605551275463988
T1,16.0,2.973213749463701,18.973213749463703,1.1858258593414814,18.973213749463703
T7,29.0,4.47213595499958,33.47213595499958,1.154211584655158,33.47213595499958
D1,10.0,15.822803516163345,25.822803516163347,2.5822803516163346,25.822803516163347
T10,16.0,15.041608956491324,31.041608956491324,1.9401005597807077,31.041608956491324
T5,28.0,1.863389981249825,29.863389981249824,1.0665496421874938,29.863389981249824
D7,14.0,2.626396615835748,16.62639661583575,1.1875997582739821,16.62639661583575
D2,27.0,1.0,28.0,1.037037037037037,28.0
D3,11.0,2.973213749463701,13.973213749463701,1.2702921590421548,13.973213749463701
D4,13.0,0.5270462766947299,13.52704627669473,1.04054202128421,13.52704627669473
D13,25.0,0.8012336167697753,25.801233616769775,1.032049344670791,25.801233616769775
D14,25.0,0.37267799624996495,25.372677996249966,1.0149071198499986,25.372677996249966
D5,28.0,7.148569144683888,35.14856914468389,1.2553060408815675,35.14856914468389
D9,23.0,3.783186487605389,26.783186487605388,1.1644863690263212,26.783186487605388
D16,15.0,4.315669125408017,19.315669125408018,1.2877112750272013,19.315669125408018
D12,27.0,4.772607021092118,31.772607021092117,1.1767632230034117,31.772607021092117
D6,28.0,5.540256712864887,33.54025671286489,1.197866311173746,33.54025671286489
D8,28.0,2.4608038433722332,30.460803843372233,1.0878858515490084,30.460803843372233
D22,10.0,1.3416407864998738,11.341640786499873,1.1341640786499874,11.341640786499873
D20,10.0,1.7391639824998366,11.739163982499836,1.1739163982499836,11.739163982499836
D21,11.0,2.7131367660166177,13.713136766016618,1.2466487969106017,13.713136766016618
D15,17.0,4.802343178074636,21.802343178074636,1.282490775180861,21.802343178074636
D24,22.0,1.651785416368723,23.651785416368725,1.0750811552894874,23.651785416368725
D34,16.0,5.0,21.0,1.3125,21.0
D39,11.0,0.6388765649999399,11.63887656499994,1.0580796877272673,11.63887656499994
D40,12.0,4.9396356140913875,16.939635614091387,1.4116363011742823,16.939635614091387
