task_id,task_duration,travel_time,engagement_time,normalized_engagement_time,energy_consumed
T8,23.0,0.45069390943299864,23.450693909433,1.0195953873666521,23.450693909433
T9,15.0,0.37267799624996495,15.372677996249966,1.0248451997499977,15.372677996249966
T3,13.0,1.131370849898476,14.131370849898476,1.0870285269152673,14.131370849898476
T5,15.0,0.8062257748298549,15.806225774829855,1.053748384988657,15.806225774829855
T1,23.0,2.4166091947189146,25.416609194718916,1.1050699649877789,25.416609194718916
T10,18.0,6.585388898066348,24.58538889806635,1.3658549387814638,24.58538889806635
T7,17.0,4.585605497399201,21.5856054973992,1.2697414998470118,21.5856054973992
T4,25.0,8.345058418010026,33.34505841801003,1.333802336720401,33.34505841801003
T2,27.0,8.12278227190257,35.12278227190257,1.3008437878482435,35.12278227190257
T6,29.0,20.40152499746581,49.40152499746581,1.7035008619815797,49.40152499746581
D2,29.0,3.2249030993194197,32.22490309931942,1.1112035551489454,32.22490309931942
D1,10.0,1.9924858845171276,11.992485884517128,1.1992485884517128,11.992485884517128
D3,23.0,12.584161120675112,35.58416112067511,1.5471374400293527,35.58416112067511
D4,27.0,16.736520280844257,43.73652028084426,1.6198711215127504,43.73652028084426
D5,15.0,2.050152433357091,17.05015243335709,1.1366768288904727,17.05015243335709
D6,17.0,8.68613720774872,25.686137207748722,1.5109492475146307,25.686137207748722
D7,29.0,5.688585061331157,34.68858506133115,1.1961581055631432,34.68858506133115
D8,13.0,4.080441152620633,17.080441152620633,1.3138800886631257,17.080441152620633
D9,21.0,5.993329625508679,26.99332962550868,1.2853966488337467,26.99332962550868
D10,23.0,8.913415708460855,31.913415708460853,1.3875398134113415,31.913415708460853
D11,10.0,5.922678870241067,15.922678870241068,1.5922678870241067,15.922678870241068
D15,14.0,8.409518416651455,22.409518416651455,1.6006798869036754,22.409518416651455
D17,16.0,4.638965401897281,20.63896540189728,1.28993533761858,20.63896540189728
D13,15.0,4.772607021092118,19.772607021092117,1.318173801406141,19.772607021092117
D16,22.0,8.011471367319974,30.011471367319974,1.3641577894236352,30.011471367319974
D19,25.0,3.760402239122831,28.760402239122833,1.1504160895649134,28.760402239122833
D23,24.0,1.3928388277184118,25.39283882771841,1.0580349511549338,25.39283882771841
D28,11.0,11.09414259868693,22.09414259868693,2.008558418062448,22.09414259868693
D25,21.0,8.00173592277187,29.00173592277187,1.3810350439415178,29.00173592277187
D18,15.0,11.84229707446997,26.84229707446997,1.7894864716313312,26.84229707446997
D33,10.0,5.9066817155564495,15.906681715556449,1.5906681715556448,15.906681715556449
