time_step,method,vehicle_id,position,battery,busy,remaining_duration,idle_time
0,Greedy,V1,"(82, 97)",98.0,False,0.0,0.0
0,Greedy,V2,"(69, 44)",52.0,False,0.0,0.0
0,Greedy,V3,"(6, 88)",98.0,False,0.0,0.0
0,Greedy,V4,"(8, 27)",84.0,False,0.0,0.0
0,Greedy,V5,"(86, 11)",66.0,False,0.0,0.0
0,Greedy,V6,"(34, 32)",84.0,False,0.0,0.0
0,Greedy,V7,"(8, 32)",72.0,False,0.0,0.0
0,Greedy,V8,"(92, 53)",92.0,False,0.0,0.0
0,Greedy,V9,"(100, 98)",56.0,False,0.0,0.0
0,Greedy,V10,"(76, 71)",65.0,False,0.0,0.0
0,Auction,V1,"(82, 97)",98.0,False,0.0,0.0
0,Auction,V2,"(69, 44)",52.0,False,0.0,0.0
0,Auction,V3,"(6, 88)",98.0,False,0.0,0.0
0,Auction,V4,"(8, 27)",84.0,False,0.0,0.0
0,Auction,V5,"(86, 11)",66.0,False,0.0,0.0
0,Auction,V6,"(34, 32)",84.0,False,0.0,0.0
0,Auction,V7,"(8, 32)",72.0,False,0.0,0.0
0,Auction,V8,"(92, 53)",92.0,False,0.0,0.0
0,Auction,V9,"(100, 98)",56.0,False,0.0,0.0
0,Auction,V10,"(76, 71)",65.0,False,0.0,0.0
0,Q-Learning,V1,"(82, 97)",98.0,False,0.0,0.0
0,Q-Learning,V2,"(69, 44)",52.0,False,0.0,0.0
0,Q-Learning,V3,"(6, 88)",98.0,False,0.0,0.0
0,Q-Learning,V4,"(8, 27)",84.0,False,0.0,0.0
0,Q-Learning,V5,"(86, 11)",66.0,False,0.0,0.0
0,Q-Learning,V6,"(34, 32)",84.0,False,0.0,0.0
0,Q-Learning,V7,"(8, 32)",72.0,False,0.0,0.0
0,Q-Learning,V8,"(92, 53)",92.0,False,0.0,0.0
0,Q-Learning,V9,"(100, 98)",56.0,False,0.0,0.0
0,Q-Learning,V10,"(76, 71)",65.0,False,0.0,0.0
1,Greedy,V1,"(82, 97)",81.83380962103094,True,16.16619037896906,1.0
1,Greedy,V2,"(69, 44)",30.647047930292565,True,21.352952069707435,1.0
1,Greedy,V3,"(6, 88)",81.30008291925274,True,16.69991708074726,1.0
1,Greedy,V4,"(8, 27)",62.83333333333333,True,21.166666666666668,1.0
1,Greedy,V5,"(86, 11)",44.50619230212408,True,21.493807697875923,1.0
1,Greedy,V6,"(34, 32)",61.461408964712035,True,22.53859103528797,1.0
1,Greedy,V7,"(8, 32)",39.666666666666664,True,32.333333333333336,1.0
1,Greedy,V8,"(92, 53)",50.666666666666664,True,41.333333333333336,1.0
1,Greedy,V9,"(100, 98)",17.66363531886865,True,38.33636468113135,1.0
1,Greedy,V10,"(76, 71)",31.78113201402867,True,33.21886798597133,1.0
1,Auction,V1,"(79, 92)",81.83380962103094,True,16.16619037896906,1.0
1,Auction,V2,"(54, 72)",30.647047930292565,True,21.352952069707435,1.0
1,Auction,V3,"(23, 68)",61.250396834395545,True,36.749603165604455,1.0
