time_step,method,task_id,position,urgency,duration
0,Greedy,T1,"(57, 13)",9,24.0
0,Greedy,T2,"(28, 90)",8,25.0
0,Greedy,T3,"(58, 71)",7,14.0
0,Greedy,T4,"(7, 53)",6,15.0
0,Greedy,T5,"(70, 76)",2,30.0
0,Greedy,T6,"(95, 9)",2,15.0
0,Greedy,T7,"(68, 89)",3,14.0
0,Greedy,T8,"(10, 52)",5,10.0
0,Greedy,T9,"(67, 2)",1,19.0
0,Greedy,T10,"(57, 82)",4,10.0
0,Auction,T1,"(57, 13)",9,24.0
0,Auction,T2,"(28, 90)",8,25.0
0,Auction,T3,"(58, 71)",7,14.0
0,Auction,T4,"(7, 53)",6,15.0
0,Auction,T5,"(70, 76)",2,30.0
0,Auction,T6,"(95, 9)",2,15.0
0,Auction,T7,"(68, 89)",3,14.0
0,Auction,T8,"(10, 52)",5,10.0
0,Auction,T9,"(67, 2)",1,19.0
0,Auction,T10,"(57, 82)",4,10.0
0,Q-Learning,T1,"(57, 13)",9,24.0
0,Q-Learning,T2,"(28, 90)",8,25.0
0,Q-Learning,T3,"(58, 71)",7,14.0
0,Q-Learning,T4,"(7, 53)",6,15.0
0,Q-Learning,T5,"(70, 76)",2,30.0
0,Q-Learning,T6,"(95, 9)",2,15.0
0,Q-Learning,T7,"(68, 89)",3,14.0
0,Q-Learning,T8,"(10, 52)",5,10.0
0,Q-Learning,T9,"(67, 2)",1,19.0
0,Q-Learning,T10,"(57, 82)",4,10.0
2,Greedy,D1,"(32, 82)",2,22.0
2,Auction,D1,"(32, 82)",2,22.0
2,Q-Learning,D1,"(32, 82)",2,22.0
3,Greedy,D1,"(32, 82)",3,22.0
3,Auction,D1,"(32, 82)",3,22.0
3,Q-Learning,D1,"(32, 82)",3,22.0
4,Greedy,D1,"(32, 82)",4,22.0
4,Auction,D1,"(32, 82)",4,22.0
4,Q-Learning,D1,"(32, 82)",4,22.0
5,Greedy,D1,"(32, 82)",5,22.0
5,Auction,D1,"(32, 82)",5,22.0
5,Q-Learning,D1,"(32, 82)",5,22.0
6,Greedy,D1,"(32, 82)",6,22.0
6,Auction,D1,"(32, 82)",6,22.0
6,Q-Learning,D1,"(32, 82)",6,22.0
7,Greedy,D1,"(32, 82)",7,22.0
7,Auction,D1,"(32, 82)",7,22.0
7,Q-Learning,D1,"(32, 82)",7,22.0
8,Greedy,D1,"(32, 82)",8,22.0
8,Greedy,D2,"(61, 64)",9,15.0
8,Auction,D1,"(32, 82)",8,22.0
8,Auction,D2,"(61, 64)",9,15.0
8,Q-Learning,D1,"(32, 82)",8,22.0
8,Q-Learning,D2,"(61, 64)",9,15.0
9,Greedy,D1,"(32, 82)",9,22.0
9,Greedy,D2,"(61, 64)",10,15.0
9,Greedy,D3,"(4, 83)",2,29.0
9,Auction,D1,"(32, 82)",9,22.0
9,Auction,D2,"(61, 64)",10,15.0
9,Auction,D3,"(4, 83)",2,29.0
9,Q-Learning,D1,"(32, 82)",9,22.0
9,Q-Learning,D2,"(61, 64)",10,15.0
