task_id,task_duration,travel_time,engagement_time,normalized_engagement_time,energy_consumed
T6,13.0,0.6478835438717001,13.6478835438717,1.0498371956824384,13.6478835438717
T5,18.0,1.0061539042374907,19.00615390423749,1.055897439124305,19.00615390423749
T1,11.0,1.4866068747318506,12.486606874731851,1.1351460795210775,12.486606874731851
T8,25.0,2.0454030090394792,27.04540300903948,1.0818161203615793,27.04540300903948
T7,24.0,4.155192534648665,28.155192534648666,1.1731330222770278,28.155192534648666
T10,21.0,4.268749491621899,25.2687494916219,1.2032737853153286,25.2687494916219
T4,11.0,3.7165171868296265,14.716517186829627,1.3378651988026933,14.716517186829627
T3,11.0,1.6970562748477138,12.697056274847714,1.154277843167974,12.697056274847714
T2,10.0,13.99330196915653,23.99330196915653,2.399330196915653,23.99330196915653
T9,24.0,20.267653484747015,44.267653484747015,1.844485561864459,44.267653484747015
E3,23.0,3.0463092423455636,26.046309242345565,1.132448227928068,26.046309242345565
E1,20.0,2.7784887978899606,22.77848879788996,1.138924439894498,22.77848879788996
E2,23.0,9.758187445536299,32.7581874455363,1.4242690193711436,32.7581874455363
E5,10.0,3.75,13.75,1.375,13.75
E4,11.0,6.102013430109325,17.102013430109324,1.5547284936463022,17.102013430109324
E7,21.0,3.5089172119045497,24.50891721190455,1.1670912958049786,24.50891721190455
E6,26.0,8.856886837057615,34.856886837057615,1.3406494937329851,34.856886837057615
E8,28.0,0.832993127835043,28.832993127835042,1.0297497545655372,28.832993127835042
E12,20.0,2.3717082451262845,22.371708245126285,1.1185854122563144,22.371708245126285
E9,30.0,4.667038675648618,34.66703867564862,1.155567955854954,34.66703867564862
E15,24.0,6.4621977685614045,30.462197768561403,1.2692582403567252,30.462197768561403
E10,16.0,1.048220125784067,17.048220125784066,1.0655137578615042,17.048220125784066
E17,12.0,1.8681541692269406,13.86815416922694,1.1556795141022451,13.86815416922694
E11,15.0,5.297332196026763,20.297332196026762,1.3531554797351175,20.297332196026762
E13,25.0,5.942432162002357,30.942432162002355,1.2376972864800941,30.942432162002355
E16,23.0,15.435349040433131,38.43534904043313,1.6711021321927448,38.43534904043313
E25,14.0,3.2639027596559607,17.26390275965596,1.233135911403997,17.26390275965596
E18,16.0,1.414213562373095,17.414213562373096,1.0883883476483185,17.414213562373096
E14,18.0,1.7365554986812255,19.736555498681227,1.0964753054822904,19.736555498681227
E28,10.0,1.0770329614269007,11.077032961426902,1.1077032961426903,11.077032961426902
