time_step,method,task_id,position,urgency,duration
10,Q-Learning,D3,"(23, 78)",12,24.0
10,Q-Learning,D4,"(9, 18)",13,12.0
10,Q-Learning,D5,"(54, 12)",9,16.0
11,Greedy,D1,"(26, 1)",12,21.0
11,Greedy,D2,"(34, 16)",9,16.0
11,Greedy,D3,"(23, 78)",13,24.0
11,Greedy,D4,"(9, 18)",14,12.0
11,Greedy,D5,"(54, 12)",10,16.0
11,Greedy,D6,"(23, 13)",7,19.0
11,Auction,D1,"(26, 1)",12,21.0
11,Auction,D2,"(34, 16)",9,16.0
11,Auction,D3,"(23, 78)",13,24.0
11,Auction,D4,"(9, 18)",14,12.0
11,Auction,D5,"(54, 12)",10,16.0
11,Auction,D6,"(23, 13)",7,19.0
11,Q-Learning,D1,"(26, 1)",12,21.0
11,Q-Learning,D2,"(34, 16)",9,16.0
11,Q-Learning,D3,"(23, 78)",13,24.0
11,Q-Learning,D4,"(9, 18)",14,12.0
11,Q-Learning,D5,"(54, 12)",10,16.0
11,Q-Learning,D6,"(23, 13)",7,19.0
12,Greedy,D1,"(26, 1)",13,21.0
12,Greedy,D2,"(34, 16)",10,16.0
12,Greedy,D3,"(23, 78)",14,24.0
12,Greedy,D4,"(9, 18)",15,12.0
12,Greedy,D5,"(54, 12)",11,16.0
12,Greedy,D6,"(23, 13)",8,19.0
12,Auction,D1,"(26, 1)",13,21.0
12,Auction,D2,"(34, 16)",10,16.0
12,Auction,D3,"(23, 78)",14,24.0
12,Auction,D4,"(9, 18)",15,12.0
12,Auction,D5,"(54, 12)",11,16.0
12,Auction,D6,"(23, 13)",8,19.0
12,Q-Learning,D1,"(26, 1)",13,21.0
12,Q-Learning,D2,"(34, 16)",10,16.0
12,Q-Learning,D3,"(23, 78)",14,24.0
12,Q-Learning,D4,"(9, 18)",15,12.0
12,Q-Learning,D5,"(54, 12)",11,16.0
12,Q-Learning,D6,"(23, 13)",8,19.0
13,Greedy,D1,"(26, 1)",14,21.0
13,Greedy,D2,"(34, 16)",11,16.0
13,Greedy,D3,"(23, 78)",15,24.0
13,Greedy,D4,"(9, 18)",16,12.0
13,Greedy,D5,"(54, 12)",12,16.0
13,Greedy,D6,"(23, 13)",9,19.0
13,Auction,D1,"(26, 1)",14,21.0
13,Auction,D2,"(34, 16)",11,16.0
13,Auction,D3,"(23, 78)",15,24.0
13,Auction,D4,"(9, 18)",16,12.0
13,Auction,D5,"(54, 12)",12,16.0
13,Auction,D6,"(23, 13)",9,19.0
13,Q-Learning,D1,"(26, 1)",14,21.0
13,Q-Learning,D2,"(34, 16)",11,16.0
13,Q-Learning,D3,"(23, 78)",15,24.0
13,Q-Learning,D4,"(9, 18)",16,12.0
13,Q-Learning,D5,"(54, 12)",12,16.0
13,Q-Learning,D6,"(23, 13)",9,19.0
14,Greedy,D1,"(26, 1)",15,21.0
